cluster,rank,keyword,weight,cluster_label,cluster_size
0,1,정부,0.0258819217136743,정책·사회/교육 혼합형,4797
0,2,정원,0.02121218318669054,정책·사회/교육 혼합형,4797
0,3,대통령,0.020631763908731084,정책·사회/교육 혼합형,4797
0,4,국민,0.02041371079113307,정책·사회/교육 혼합형,4797
0,5,대학,0.02002539497862928,정책·사회/교육 혼합형,4797
0,6,교육,0.01814913201161498,정책·사회/교육 혼합형,4797
0,7,감사,0.015872628476970733,정책·사회/교육 혼합형,4797
0,8,미국,0.015131556669581934,정책·사회/교육 혼합형,4797
0,9,윤석열,0.014497459382476069,정책·사회/교육 혼합형,4797
0,10,한국,0.014009143510576657,정책·사회/교육 혼합형,4797
0,11,학생,0.013958026175048228,정책·사회/교육 혼합형,4797
0,12,서울,0.013286408752805004,정책·사회/교육 혼합형,4797
0,13,정책,0.013173405822097528,정책·사회/교육 혼합형,4797
0,14,교수,0.012900478740357347,정책·사회/교육 혼합형,4797
0,15,수업,0.012413454922717242,정책·사회/교육 혼합형,4797
1,1,정부,0.1047620792125502,의료현장 갈등형,1993
1,2,전공의,0.08692695911177008,의료현장 갈등형,1993
1,3,환자,0.07279890208405472,의료현장 갈등형,1993
1,4,교수,0.06478594237592727,의료현장 갈등형,1993
1,5,국민,0.05840650400732151,의료현장 갈등형,1993
1,6,진료,0.057643123284297944,의료현장 갈등형,1993
1,7,정원,0.051468242899106516,의료현장 갈등형,1993
1,8,필수,0.05081591219143688,의료현장 갈등형,1993
1,9,정책,0.04119979964386896,의료현장 갈등형,1993
1,10,파업,0.03801537603317052,의료현장 갈등형,1993
1,11,의협,0.03590495945010776,의료현장 갈등형,1993
1,12,집단,0.03387838746720792,의료현장 갈등형,1993
1,13,대학,0.03208027454555965,의료현장 갈등형,1993
1,14,응급실,0.030131540392406633,의료현장 갈등형,1993
1,15,사직,0.029363572927224496,의료현장 갈등형,1993
2,1,전형,0.09734332399094596,입시·전형 집중형,2290
2,2,수능,0.08521142984378823,입시·전형 집중형,2290
2,3,입시,0.07793765026157802,입시·전형 집중형,2290
2,4,수시,0.06879137473717024,입시·전형 집중형,2290
2,5,대학,0.06533378106214795,입시·전형 집중형,2290
2,6,지역,0.06427634156419627,입시·전형 집중형,2290
2,7,모집,0.056860148469755435,입시·전형 집중형,2290
2,8,인재,0.0549740786177257,입시·전형 집중형,2290
2,9,등급,0.05371523840254408,입시·전형 집중형,2290
2,10,학생,0.05298674976396779,입시·전형 집중형,2290
2,11,정시,0.0519548387003426,입시·전형 집중형,2290
2,12,학년도,0.050253575413369854,입시·전형 집중형,2290
2,13,교과,0.045439240251230265,입시·전형 집중형,2290
2,14,수학,0.043229490045588584,입시·전형 집중형,2290
2,15,최저,0.043131818677569024,입시·전형 집중형,2290
