topic,rank,keyword,weight,topic_label
0,1,환자,5422.199087101789,의료현장·진료 차질
0,2,의협,4661.275315384653,의료현장·진료 차질
0,3,전공의,4564.76865438162,의료현장·진료 차질
0,4,교수,4127.654855526788,의료현장·진료 차질
0,5,정부,4049.05494179179,의료현장·진료 차질
0,6,휴진,3808.3277703879266,의료현장·진료 차질
0,7,진료,3652.178530283611,의료현장·진료 차질
0,8,치료,2715.3209086045804,의료현장·진료 차질
0,9,연합뉴스,2712.824135571399,의료현장·진료 차질
0,10,경제,2415.0618668798234,의료현장·진료 차질
0,11,신문,2316.1898973194757,의료현장·진료 차질
0,12,응급실,2288.527441390737,의료현장·진료 차질
0,13,복지부,2119.4839774992774,의료현장·진료 차질
0,14,수술,2069.3816021734337,의료현장·진료 차질
0,15,뉴스,2040.4603606098694,의료현장·진료 차질
1,1,미국,4985.7244563742315,경제·시장 외부담론
1,2,기업,4070.625280987155,경제·시장 외부담론
1,3,시장,3673.7849169829374,경제·시장 외부담론
1,4,한국,3578.1079261122222,경제·시장 외부담론
1,5,중국,3120.8525480021626,경제·시장 외부담론
1,6,상승,3048.6465755877025,경제·시장 외부담론
1,7,투자,2913.147328124125,경제·시장 외부담론
1,8,반도체,2586.768962335663,경제·시장 외부담론
1,9,경제,2540.88739022799,경제·시장 외부담론
1,10,일본,2324.454452366849,경제·시장 외부담론
1,11,서울,2304.933787326194,경제·시장 외부담론
1,12,금리,2297.683496111875,경제·시장 외부담론
1,13,사업,2291.146916475059,경제·시장 외부담론
1,14,뉴스,2277.938844432665,경제·시장 외부담론
1,15,가격,2061.0288002254447,경제·시장 외부담론
2,1,정부,18460.097476436695,정책·의료갈등 종합
2,2,정원,10096.733557769076,정책·의료갈등 종합
2,3,전공의,9066.786303572579,정책·의료갈등 종합
2,4,교수,7977.668344328033,정책·의료갈등 종합
2,5,대학,7718.066229450986,정책·의료갈등 종합
2,6,국민,7454.086183374496,정책·의료갈등 종합
2,7,환자,7303.507230567138,정책·의료갈등 종합
2,8,정책,6242.103353201609,정책·의료갈등 종합
2,9,필수,6195.249944366707,정책·의료갈등 종합
2,10,진료,5336.094956694403,정책·의료갈등 종합
2,11,교육,5190.88905744485,정책·의료갈등 종합
2,12,나라,4050.589895659331,정책·의료갈등 종합
2,13,지방,3747.064130853897,정책·의료갈등 종합
2,14,반대,3654.86635022605,정책·의료갈등 종합
2,15,집단,3550.6021635531133,정책·의료갈등 종합
3,1,대통령,8057.271772563114,정치·선거 담론
3,2,국민,6411.83723080438,정치·선거 담론
3,3,윤석열,4508.031234313541,정치·선거 담론
3,4,정부,3394.6700408714514,정치·선거 담론
3,5,대표,3298.0969546500046,정치·선거 담론
3,6,의원,3220.54885868949,정치·선거 담론
3,7,정치,3175.941930536835,정치·선거 담론
3,8,민주당,2757.0341991300934,정치·선거 담론
3,9,국회,2740.417877562199,정치·선거 담론
3,10,이재명,2683.8011944486525,정치·선거 담론
3,11,지역,2497.707195081019,정치·선거 담론
3,12,정책,2285.463192158333,정치·선거 담론
3,13,총선,2158.749467012379,정치·선거 담론
3,14,한동훈,2034.2748196388627,정치·선거 담론
3,15,개혁,1978.2161053917791,정치·선거 담론
4,1,대학,15927.812864273823,입시·전형 담론
4,2,전형,15547.10120950737,입시·전형 담론
4,3,수능,13038.914483024348,입시·전형 담론
4,4,입시,12711.709756438457,입시·전형 담론
4,5,학생,12053.753966939597,입시·전형 담론
4,6,지역,10424.750677693242,입시·전형 담론
4,7,모집,9695.083951815734,입시·전형 담론
4,8,수시,9532.956050617742,입시·전형 담론
4,9,지원,8151.349253954948,입시·전형 담론
4,10,학년도,8096.728319442474,입시·전형 담론
4,11,인재,7582.751873321667,입시·전형 담론
4,12,등급,7246.623568670281,입시·전형 담론
4,13,학교,6469.834359657253,입시·전형 담론
4,14,정시,6418.920022540133,입시·전형 담론
4,15,인원,6348.516438799475,입시·전형 담론
