section,section_name,nmf_topic,doc_count,section_total,ratio,nmf_topic_label
1,1구간 (2024.01~03),0,232,2335,0.0993576017130621,전형·지역·인재
1,1구간 (2024.01~03),1,1207,2335,0.5169164882226981,정부·전공의·환자
1,1구간 (2024.01~03),2,290,2335,0.12419700214132762,수능·입시·등급
1,1구간 (2024.01~03),3,554,2335,0.23725910064239827,대통령·미국·국민
1,1구간 (2024.01~03),4,52,2335,0.02226980728051392,존중·회원·대학생
2,2구간 (2024.04~06),0,318,2439,0.13038130381303814,전형·지역·인재
2,2구간 (2024.04~06),1,861,2439,0.35301353013530135,정부·전공의·환자
2,2구간 (2024.04~06),2,497,2439,0.2037720377203772,수능·입시·등급
2,2구간 (2024.04~06),3,665,2439,0.2726527265272653,대통령·미국·국민
2,2구간 (2024.04~06),4,98,2439,0.04018040180401804,존중·회원·대학생
3,3구간 (2024.07~12),0,272,3061,0.08885984972231296,전형·지역·인재
3,3구간 (2024.07~12),1,813,3061,0.2655994772950016,정부·전공의·환자
3,3구간 (2024.07~12),2,883,3061,0.28846782097353807,수능·입시·등급
3,3구간 (2024.07~12),3,729,3061,0.23815746488075792,대통령·미국·국민
3,3구간 (2024.07~12),4,364,3061,0.11891538712838942,존중·회원·대학생
4,4구간 (2025.01~06),0,117,1245,0.09397590361445783,전형·지역·인재
4,4구간 (2025.01~06),1,275,1245,0.22088353413654618,정부·전공의·환자
4,4구간 (2025.01~06),2,391,1245,0.3140562248995984,수능·입시·등급
4,4구간 (2025.01~06),3,249,1245,0.2,대통령·미국·국민
4,4구간 (2025.01~06),4,213,1245,0.1710843373493976,존중·회원·대학생
