section,rank,word,count
1,1,정부,10509
1,2,정원,7861
1,3,대학,6679
1,4,지역,6411
1,5,국민,5463
1,6,전공의,5115
1,7,환자,4991
1,8,교수,4290
1,9,진료,4199
1,10,정책,3912
1,11,필수,3878
1,12,지원,3689
1,13,지방,3636
1,14,서울,3546
1,15,확대,3404
1,16,학생,3046
1,17,한국,2938
1,18,교육,2817
1,19,부족,2604
1,20,대통령,2586
1,21,감사,2566
1,22,파업,2458
1,23,수도,2325
1,24,전형,2293
1,25,반대,2278
1,26,입시,2276
1,27,대표,2269
1,28,규모,2228
1,29,건강,2152
1,30,인재,2149
1,31,수능,2148
1,32,집단,2144
1,33,시장,2106
1,34,경제,2096
1,35,미국,2021
1,36,나라,2000
1,37,증가,1963
1,38,소아,1958
1,39,의협,1943
1,40,해결,1902
1,41,기업,1895
1,42,뉴스,1885
1,43,복지부,1801
1,44,전공,1800
1,45,보건,1777
1,46,수술,1761
1,47,보험,1749
1,48,치료,1734
1,49,정치,1717
1,50,인력,1712
1,51,이재명,1710
1,52,사업,1653
1,53,의과,1631
1,54,인원,1591
1,55,서울대,1552
1,56,공부,1520
1,57,입학,1470
1,58,현장,1449
1,59,청소년과,1442
1,60,총선,1441
1,61,일본,1424
1,62,사직,1423
1,63,학교,1422
1,64,간호사,1392
1,65,조사,1380
1,66,개발,1362
1,67,인구,1361
1,68,서비스,1344
1,69,단체,1342
1,70,주장,1338
1,71,면허,1327
1,72,의원,1313
1,73,개선,1311
1,74,투자,1301
1,75,세계,1300
1,76,수가,1287
1,77,반도체,1278
1,78,미래,1266
1,79,대한민국,1260
1,80,신청,1230
1,81,학년도,1230
1,82,기술,1212
1,83,근무,1207
1,84,체계,1191
1,85,합격,1188
1,86,상승,1188
1,87,반발,1178
1,88,행동,1175
1,89,개혁,1169
1,90,평가,1167
1,91,강화,1151
1,92,국내,1146
1,93,업무,1144
1,94,학원,1143
1,95,전문의,1143
1,96,윤석열,1134
1,97,수요,1131
1,98,대응,1119
1,99,정시,1118
1,100,모집,1118
2,1,정부,8309
2,2,대학,7038
2,3,전형,4953
2,4,지역,4706
2,5,정원,4517
2,6,교수,4318
2,7,국민,4070
2,8,학생,3879
2,9,휴진,3670
2,10,입시,3515
2,11,모집,3364
2,12,환자,3221
2,13,대통령,3018
2,14,수능,3005
2,15,지원,2991
2,16,전공의,2887
2,17,전공,2774
2,18,교육,2753
2,19,서울,2751
2,20,정책,2699
2,21,학년도,2614
2,22,인재,2505
2,23,한국,2480
2,24,의협,2389
2,25,인원,2348
2,26,진료,2286
2,27,학원,2128
2,28,수시,2088
2,29,결정,2058
2,30,경제,1996
2,31,집단,1995
2,32,미국,1908
2,33,뉴스,1893
2,34,확대,1876
2,35,학교,1872
2,36,지방,1835
2,37,수학,1800
2,38,등급,1788
2,39,필수,1785
2,40,선발,1744
2,41,증가,1681
2,42,윤석열,1662
2,43,평가,1621
2,44,최저,1588
2,45,시장,1487
2,46,분석,1451
2,47,교과,1447
2,48,개혁,1441
2,49,기업,1434
2,50,공부,1416
2,51,입학,1408
2,52,정시,1406
2,53,과학,1398
2,54,수도,1396
2,55,건강,1396
2,56,확정,1381
2,57,서울대,1376
2,58,법원,1374
2,59,대입,1356
2,60,학과,1327
2,61,과목,1310
2,62,변화,1303
2,63,합격,1293
2,64,상승,1286
2,65,자료,1280
2,66,논의,1263
2,67,의원,1261
2,68,나라,1254
2,69,총선,1215
2,70,의과,1211
2,71,정치,1208
2,72,계열,1207
2,73,전략,1153
2,74,보건,1142
2,75,국회,1137
2,76,부족,1136
2,77,경쟁,1134
2,78,투자,1128
2,79,추진,1127
2,80,상위,1123
2,81,신청,1105
2,82,논술,1088
2,83,회장,1086
2,84,진학,1081
2,85,반대,1071
2,86,중국,1068
2,87,학년,1063
2,88,수술,1059
2,89,의견,1058
2,90,대한민국,1051
2,91,비율,1045
2,92,단체,1037
2,93,수험,1029
2,94,복지부,1019
2,95,사업,1019
2,96,학생부,1014
2,97,공개,1000
2,98,검토,997
2,99,재생,994
2,100,기술,988
3,1,정부,8508
3,2,대학,7859
3,3,전형,5716
