,doc_freq,mean_tfidf_in_corpus,sticky_score
마련,408,0.00504025795571283,67.54678409290727
도움,404,0.005394263819768247,63.1816283136473
개인,550,0.007720813883824704,63.067508070563875
기준,594,0.008470740406632263,62.719489131391235
예정,479,0.006734628903236238,61.92928012352113
장기,326,0.004269190263840837,61.86908873591725
유일,199,0.002220943391719692,61.78314108580221
모습,362,0.004860567314805674,61.768764106756656
현실,681,0.010047455673036252,61.643152971605076
하루,717,0.010660722944933027,61.488468887047894
일반,528,0.0076870823195065476,60.77990061339628
방향,363,0.004981737915755638,60.68470486543279
중심,440,0.006274846474694268,60.48237602409216
결정,634,0.00956172446286739,60.028076118535296
수준,706,0.010765131478719193,60.007829175306284
압박,216,0.002599658929138242,60.00568505297539
전문,517,0.007681748129123694,59.55021872446146
계획,704,0.010827443408256827,59.52258452646938
실제,243,0.0030845339607584133,59.49271136795247
비교,326,0.004484383130088834,59.44150732494862
판단,353,0.0049425156230941715,59.40245215816507
기존,416,0.006036809094788784,59.11770440213806
관리,425,0.0062009526896543155,59.01996837315735
마지막,359,0.005096212034902685,58.88902780031515
상대,312,0.0043047328838928065,58.81540255256793
활동,372,0.005328901076729552,58.77797669611078
자리,419,0.006144891169993795,58.643300510952905
고려,442,0.00655189103764179,58.528386836738875
선택,600,0.00925988901625177,58.48016475125549
성공,302,0.004190279850535529,58.185687226256185
가운데,393,0.005758964689521881,58.14499972299756
직전,151,0.001608865426095719,57.879566530949084
생활,327,0.004674150985136853,57.629767141649864
지금,794,0.012810403795022973,57.49288809977762
사용,321,0.0045979600592295925,57.34231695182494
보장,294,0.0041510488838282875,57.07575420668453
차이,355,0.0052224025287016754,57.05191818795303
역할,256,0.0034998529647764075,56.8907477652929
사례,278,0.003891951843125978,56.828032841459205
핵심,335,0.004901022785685515,56.769819769655996
기록,259,0.0035759546891774466,56.600210795915174
미래,537,0.008494599271390046,56.55846915184038
전문가,389,0.0058838704769550235,56.50890749647984
우려,474,0.00738901135323619,56.5024864124361
인정,270,0.0037825595946685163,56.45512505499975
참고,298,0.004289546915785719,56.33752847728255
실질,182,0.002232454871843589,56.30395696636552
적극,279,0.003957016141401202,56.28385949155593
준비,693,0.011319150532649607,56.25387872023586
종합,490,0.007716251989663741,56.21682353620245
부담,410,0.006297960420834276,56.18007996172858
구조,338,0.005024728287728769,56.102115125829336
차지,180,0.002229432597451135,55.737345359697855
주목,215,0.002866778700879357,55.60183724791546
전국,733,0.012185152280075353,55.59283536737513
시행,324,0.004829095954198534,55.58323323990436
정신,250,0.0035072547169696477,55.466135308208614
제도,440,0.006972383603353785,55.190520412854056
실시,199,0.0026128720968626837,55.08083172188852
목적,313,0.004688241324769611,55.02579481588316
부모,303,0.004507513213675613,55.01575543162126
언급,258,0.00369001544426029,55.01047983024112
위험,267,0.0038582444943227132,54.95812331224026
최소,360,0.005550453790912371,54.958024511132066
본격,228,0.0031496663086749703,54.94417696270202
기회,404,0.006375213632664212,54.77807425275349
동시,208,0.002797925284504621,54.76674352932414
전환,201,0.002670196123952538,54.76546571673053
기관,409,0.00648292700555801,54.657756209062526
결론,261,0.0037783446679275864,54.62142606661278
배출,273,0.004001965266483138,54.57854772189276
이제,383,0.006029910261809463,54.48149204416981
대형,301,0.004525658209013965,54.47314846744971
목표,365,0.005706416191648397,54.42549188261535
요구,374,0.00587409068607071,54.40719610491226
제시,326,0.005000832867085124,54.32579230595251
지적,260,0.0037870386908501015,54.313327464213195
경험,316,0.004822159551945874,54.275393379486985
걱정,542,0.008997725640688535,54.212329831714904
분석,456,0.007422153733056314,54.14292049909213
전달,211,0.0029038540857301356,54.049151265994816
마찬가지,208,0.002853525827563813,53.976542342651676
가슴,156,0.0018903785447030319,53.97216924609714
희망,280,0.004192900879730798,53.91976594294542
얼굴,143,0.001653648428543725,53.888072911932746
책임,394,0.006321612973268219,53.813278773205404
추진,565,0.009515671807489459,53.729329931882845
적용,356,0.005669850225772146,53.374511863013694
강조,303,0.0046864857178924805,53.284227734295186
의견,684,0.011837235578739495,53.282499631993424
이야기,589,0.010057830393137387,53.26542179246482
최대,463,0.007706379101170011,53.179398073509056
가족,358,0.005741968531511925,53.10021818207989
시대,369,0.005950408586520981,53.09040402539882
안정,255,0.003804791883593568,53.07201772270771
활용,266,0.0040126217660646415,53.06604256495377
발전,298,0.004617986280585513,53.043917360535474
경영,164,0.002095917644565401,52.97298534019047
원인,240,0.0035354738998421265,52.91619030336699
이익,297,0.004625853128706643,52.79199317958002
요즘,459,0.007701926342362524,52.74694153241753
입장,699,0.012258918899708652,52.71923037521254
과거,242,0.00359369696554819,52.68088030511191
연결,162,0.002079040546073216,52.613792373277775
구체,255,0.00385005892210719,52.57668083941771
검토,303,0.004763822414594382,52.56928097451161
시점,223,0.003246388949498292,52.5152082515539
인사,193,0.0026774670371545674,52.4817756488535
주도,178,0.0023941446115806207,52.44325754202532
의지,206,0.0029285066429577994,52.437228372586176
평생,175,0.0023377741334802975,52.43015045404749
공개,348,0.005638010990515116,52.425342545718635
영향,495,0.008451197645097937,52.3743147257895
공유,317,0.0050558332518800195,52.34622335441421
위기,284,0.0044428495558361,52.1785504241029
분야,471,0.008045152865779118,52.072088442192374
안전,258,0.003955034561589632,52.068254377065465
대책,546,0.009491922003880764,52.0400361152175
반영,285,0.004481488375431561,51.993177852459056
파악,219,0.0032123098185845474,51.99047777392359
분위기,241,0.0036450054794046507,51.883684759590196
고민,344,0.005634108581756826,51.853236310597566
그동안,203,0.0029151274981732314,51.85016326919577
피해,428,0.007255617013840617,51.84349023004024
혜택,267,0.004153111226894784,51.8133586184771
논의,471,0.008092888667080592,51.7987206535568
소통,261,0.004039190475971221,51.79403343543916
지원자,178,0.002437495024624851,51.781893129991055
이용,506,0.00877269095588318,51.776936596504875
경쟁,499,0.008641413078965389,51.755898841080175
현상,395,0.0066348813924711324,51.73623265313791
확보,287,0.0045504402435285135,51.70761010077085
조건,293,0.004669871306537063,51.67665792734774
자원,159,0.002078457040614683,51.64925087544898
비난,284,0.0045006391496118636,51.63036372237572
전망,397,0.006695123779865692,51.591112938137705
동료,136,0.0016370560129781065,51.57266259445552
도입,285,0.004526461292415614,51.57007077768324
포스팅,543,0.009534625772431388,51.54430842916177
절반,211,0.003094836515597343,51.52830868736646
반응,177,0.002442917983142157,51.40987989451381
존재,231,0.003499514647632478,51.33887054274752
인식,194,0.002780005915048873,51.322671011611824
국가,668,0.012055876702973284,51.16469887065284
회사,310,0.00507947311952398,50.99126090457537
마무리,229,0.003492908747497727,50.96920789400382
소리,337,0.005614614460534247,50.947791743675
참여,327,0.0054194712771886136,50.938774531476454
정확,182,0.0025730610816815684,50.93671668057419
가치,231,0.0035352070653413823,50.93482980420691
사회,706,0.012864683478409668,50.92074414099649
차원,153,0.002006152440351604,50.895622572654666
의무,284,0.004589643055113701,50.80825326407592
방안,452,0.00789716586388399,50.80269457881983
전담,138,0.0017165285821354919,50.80012811480037
통계,206,0.003056536982166704,50.78223147123138
단순,211,0.003155488529451516,50.776220053205144
조정,370,0.006293692585390721,50.72876264912929
제기,216,0.003267577484984066,50.614195233717346
세상,297,0.00488515833756342,50.46593191967785
강제,197,0.002906493969840542,50.42885040164065
차례,167,0.002313301174938767,50.4029036850495
세계,423,0.0074085002891758865,50.30623600554791
본인,415,0.0072499697320704045,50.303214857474636
이슈,492,0.008789876369664421,50.25599725902002
능력,271,0.004393804343135551,50.24283098901972
발표,1061,0.020118434317464937,50.24046688549034
일정,252,0.004025156848870118,50.14768843616513
해소,274,0.004467850733782845,50.11109727394433
오후,277,0.004528462825131162,50.104343424508464
비용,320,0.005391315911280006,50.067936625575555
효율,150,0.0019961407737972615,50.0644032856615
사망,270,0.004396762016610322,50.02999931606871
급증,164,0.0022806550466204552,49.990016527017524
감소,341,0.005822253278863276,49.983485816407196
가정,176,0.002521223989206315,49.982619833187734
구축,214,0.0032934556512812813,49.84330045103336
현장,559,0.010216795372302133,49.83598090595023
향후,213,0.003275037049719472,49.82412959765508
비중,213,0.0032785065651821876,49.7837263435238
역대,204,0.003098414153813364,49.77535025594924
당시,265,0.004324303209152838,49.77177098863323
목소리,266,0.0043444179054901964,49.77155692236275
반발,577,0.010592984130371068,49.771481916238194
대한민국,515,0.009354624124055072,49.73623318721838
사태,458,0.008213468085123443,49.70983735641427
특정,185,0.0027226974503170125,49.695147797800765
위협,165,0.002320257355512596,49.694942991708714
불편,218,0.0033914604077130463,49.64180016677607
방문,362,0.006300374671835276,49.58649607349469
처리,228,0.0036019397141956178,49.5443256887281
가속,120,0.0014223300229075882,49.53907967336372
아시아,99,0.0009984480795995716,49.53843985771029
최종,184,0.0027193395660275923,49.471148501915245
체계,467,0.008442599226147849,49.45672148266265
출신,302,0.0051123677410784,49.40802202890993
완전,121,0.0014515999033021783,49.355524870522004
