,section_1_mean_tfidf,section_2_mean_tfidf,section_3_mean_tfidf,section_4_mean_tfidf
100분,0.0001748576693106877,5.154796689181601e-05,8.357480256491589e-05,0.0
10만줄,0.0,0.0,0.0001806429773294466,0.0
11번가,0.0001154060090664558,2.325035295439595e-05,2.4295253804348198e-05,0.0
13시간,0.0,0.0,1.8614727022234236e-05,0.0
1988,0.0,1.6283551442377485e-05,0.0,0.0001580093748593267
1심,0.0006282458861978809,0.0014133117024709152,0.00024967661634400074,0.0001372785959116246
1인자,2.332867427330422e-05,1.0216279569081352e-05,4.7633724842803444e-05,0.0
1일전,6.942080171970237e-06,8.006015971879909e-06,6.0841594417869206e-06,0.0
1조,6.614132458185127e-05,0.0,1.780197839281467e-05,1.1084108353764398e-05
1타,7.930754809015382e-05,0.0,1.5260476953310156e-05,0.0
1통제관,1.6602311255627225e-06,3.6787994999457533e-05,0.0,0.0
1티어,0.0,8.666386589769394e-05,0.0,0.0
1호,1.3299169866120464e-05,0.0,0.0,2.6260113067163792e-05
1호기,0.0,2.84706127435152e-05,7.935092907191771e-06,0.0
2관,2.9247760612927947e-05,0.0,0.0,3.701115023796978e-05
2관왕,6.505833793304975e-06,0.0,3.708115297339866e-05,0.0
2류,0.0,3.12807527667606e-05,0.0,6.304217649253448e-05
2번,7.5736595750205215e-06,4.177657566611726e-06,0.0,0.0
2심,0.0002292621744002696,0.0006074036924922032,0.0002534434813960778,3.3146741992759746e-05
2인자,3.959438952643239e-05,1.6842247477907147e-05,4.117104412599844e-05,1.984152321019449e-05
2조,0.0,0.0,8.189398647809799e-05,1.2618287321554646e-05
2주강해,0.0,4.263585134302927e-05,0.0,0.0
2차,3.3177605548170476e-05,0.0,1.4989228115754027e-05,0.0
2천,0.0,3.0945258027108695e-05,4.530838318531454e-05,0.0
2호선,0.0,0.0,3.556673717508706e-05,0.00013000902056745713
3,1.8143874422020295e-05,0.0,6.288332605482435e-06,0.0
3개교,3.8325833662647795e-05,0.0,0.0,0.0
3관왕,3.4708163061653577e-06,0.0,6.762877845461343e-05,0.0
3국,2.089602631831321e-05,0.00013884644489132637,4.8006326519480095e-05,2.7015671048562866e-05
3권,1.902497780272312e-06,4.220394293656049e-05,3.838640746966947e-06,3.616026792260238e-05
3김,9.493380993377018e-05,0.00012294540232848743,3.694337602605234e-05,0.0
3룡,0.0,0.0,5.0765161980129247e-05,0.0
3만,0.0,0.0,0.0,0.0001422957694154898
3사,0.00034518091661643586,0.0002859086070114465,0.00026146243873843833,0.00011950189963646791
3상,0.0,5.278004953156742e-06,0.0,3.524963664047172e-05
3인방,2.9100160222320264e-05,1.9262653631290145e-05,4.7492941271655365e-06,9.938832010950909e-06
3자,3.0123411840818037e-05,5.755352880812678e-05,2.7969825197012633e-05,0.0
3파전,6.173791523143202e-05,3.188767122438302e-05,0.0,0.0
3합,0.0,0.0,1.443720690969932e-05,0.0
4,2.7238304629055805e-05,0.00012437861370309937,6.536079382470601e-05,0.0
4베이,0.0,1.9010601719250793e-05,1.4972489704727986e-05,0.0
4차,3.3177605548170476e-05,9.837971551956278e-06,0.0,0.0
4파전,0.0,1.5243136345213065e-05,0.0,2.349975776031448e-05
4호선,0.0,1.736733321574787e-05,6.899293573205954e-06,0.0
5도,1.3258587768683692e-05,3.845648501622678e-05,5.043640516860788e-05,4.503675556402178e-05
5부,0.0,3.183273838179734e-06,4.02359393317908e-06,0.0
5일차,0.0,5.90011214244084e-06,2.987860011499902e-06,0.0
5호선,2.5231378976293736e-05,0.0,0.0,0.0
60계치킨,2.0518650223659447e-05,0.0,0.0,0.0
731부대,1.8029503638489664e-05,4.6384175376980165e-05,0.0,0.0
7광구,1.0205250692920972e-06,9.349565056229623e-05,1.2189547867133924e-05,0.0
ak플라자,1.671440769528162e-05,0.0,0.0,0.0
ap통신,0.0,4.7788025650765275e-05,7.07020196235073e-06,5.703603741054659e-06
bgf리테일,5.165139193947963e-05,5.7354505184261645e-05,0.0,7.4639456810789645e-06
cj대한통운,6.175257641039843e-05,5.744532953323959e-05,0.0,0.0
cj씨푸드,0.0,2.8707210752934298e-05,0.0,0.0
