,section_1_mean_tfidf,section_2_mean_tfidf,section_3_mean_tfidf,section_4_mean_tfidf,diff_vs_others_max_s1,diff_vs_others_max_s2,diff_vs_others_max_s3,diff_vs_others_max_s4
복귀,0.006860514812252944,0.006582305098800818,0.006675652440300606,0.024409993609268533,-0.01754947879701559,-0.017827688510467714,-0.017734341168967927,0.01754947879701559
학번,0.000941492288351648,0.0008227417723260639,0.005390296421168195,0.020005127833042084,-0.019063635544690438,-0.01918238606071602,-0.01461483141187389,0.01461483141187389
수업,0.005945556914921046,0.007796312307623106,0.010122968525370707,0.023798671793355982,-0.017853114878434936,-0.016002359485732875,-0.013675703267985275,0.013675703267985275
제적,0.00013986196401538843,0.00040263043906128046,0.0007633811745603567,0.014116576870769575,-0.013976714906754187,-0.013713946431708295,-0.013353195696209219,0.013353195696209219
정시,0.010070157604668423,0.011497364379742477,0.0161351062545207,0.02828542405493971,-0.018215266450271286,-0.016788059675197232,-0.01215031780041901,0.01215031780041901
화교,0.0,0.0,2.269174605232404e-06,0.011640891024012189,-0.011640891024012189,-0.011640891024012189,-0.011638621849406956,0.011638621849406956
입시,0.019833560792735416,0.027084870916632146,0.02705776872437505,0.03635260416391755,-0.016519043371182134,-0.009267733247285404,-0.009294835439542501,0.009267733247285404
후기,0.001860767872316102,0.0022109158303462327,0.0034692629894886914,0.012192276182025273,-0.010331508309709171,-0.009981360351679042,-0.008723013192536582,0.008723013192536582
감사,0.017711332130928622,0.02027736990080977,0.021969215939710823,0.02985255990154832,-0.012141227770619697,-0.009575190000738549,-0.007883343961837496,0.007883343961837496
계엄,0.0001566438959686367,3.289622763113529e-05,0.0014124554642355584,0.008065113968474218,-0.00790847007250558,-0.008032217740843083,-0.00665265850423866,0.00665265850423866
게시,0.0043437950266657695,0.0048805764892783715,0.005609209264099019,0.012192365081308451,-0.007848570054642682,-0.00731178859203008,-0.006583155817209432,0.006583155817209432
학교,0.009721032115541465,0.01229833549656575,0.015384464078584204,0.021926351097364998,-0.012205318981823534,-0.009628015600799247,-0.006541887018780794,0.006541887018780794
휴학,0.0076539637836965995,0.004890375243744092,0.009629981847970053,0.01607018572558132,-0.008416221941884721,-0.011179810481837228,-0.006440203877611269,0.006440203877611269
동결,0.002382223243721859,0.0018057422178335183,0.0010022617905488627,0.008597464404748801,-0.0062152411610269425,-0.006791722186915283,-0.007595202614199939,0.0062152411610269425
선배,0.0029806931166939314,0.0025666642836815632,0.010090453050911621,0.01619721004483349,-0.01321651692813956,-0.013630545761151927,-0.00610675699392187,0.00610675699392187
학년도,0.011463194126423439,0.018961236986426867,0.0172161429846239,0.024856351985863303,-0.013393157859439864,-0.005895114999436436,-0.007640209001239403,0.005895114999436436
황금,0.0007572054701179421,0.0006283612522772894,0.0011671689996726928,0.006933671930178866,-0.006176466460060924,-0.006305310677901577,-0.005766502930506174,0.005766502930506174
대선,0.0021039574453107068,0.001537879495923776,0.0018436288087354848,0.007772206686580228,-0.005668249241269521,-0.006234327190656452,-0.005928577877844743,0.005668249241269521
생기부,0.0004989574380284754,0.0008455334846186388,0.0014873369568403011,0.007002229211384368,-0.006503271773355893,-0.006156695726765729,-0.005514892254544067,0.005514892254544067
규칙,0.003594058098892715,0.0036453064300987635,0.004767924605989511,0.01002657454274207,-0.006432516443849355,-0.006381268112643307,-0.005258649936752559,0.005258649936752559
복학,0.00017305144521474253,0.00026806234039477683,0.001066509852220326,0.006218494361163959,-0.0060454429159492165,-0.005950432020769182,-0.005151984508943633,0.005151984508943633
인원,0.014501407505188375,0.017357563242220927,0.013988443405869452,0.02230715563332515,-0.007805748128136777,-0.004949592391104225,-0.008318712227455699,0.004949592391104225
제한,0.005967954372369495,0.005071378994008923,0.006178756622957337,0.010911962318558488,-0.004944007946188993,-0.005840583324549564,-0.00473320569560115,0.00473320569560115
수강,0.0011117491585161407,0.0011636342914639853,0.001502548699685866,0.006112030643659335,-0.005000281485143194,-0.00494839635219535,-0.004609481943973469,0.004609481943973469
합격,0.009528365792184407,0.009645899723491922,0.017002590656359378,0.021543345614576128,-0.012014979822391721,-0.011897445891084206,-0.00454075495821675,0.00454075495821675
회원,0.005406663527085184,0.00599113566258688,0.011063807487803659,0.015462741316878942,-0.010056077789793758,-0.009471605654292062,-0.004398933829075283,0.004398933829075283
펑크,0.00017625616611425667,0.000819890406402462,0.0014931410395706863,0.005784013052563915,-0.005607756886449659,-0.004964122646161453,-0.004290872012993229,0.004290872012993229
이재명,0.0064027327899333925,0.004053209613190718,0.004447471419313983,0.010667257318889076,-0.0042645245289556835,-0.006614047705698358,-0.006219785899575093,0.0042645245289556835
