section,section_label,k,sse
1,1구간 (2024-01-01 ~ 2024-03-31),2,2205.119652337859
1,1구간 (2024-01-01 ~ 2024-03-31),3,2176.213717342735
1,1구간 (2024-01-01 ~ 2024-03-31),4,2163.6414233437613
1,1구간 (2024-01-01 ~ 2024-03-31),5,2149.281707695606
1,1구간 (2024-01-01 ~ 2024-03-31),6,2138.25133341026
1,1구간 (2024-01-01 ~ 2024-03-31),7,2124.29785804094
1,1구간 (2024-01-01 ~ 2024-03-31),8,2115.025281254469
2,2구간 (2024-04-01 ~ 2024-06-30),2,2339.504723014232
2,2구간 (2024-04-01 ~ 2024-06-30),3,2320.9601745818604
2,2구간 (2024-04-01 ~ 2024-06-30),4,2308.682506118885
2,2구간 (2024-04-01 ~ 2024-06-30),5,2297.4216582471354
2,2구간 (2024-04-01 ~ 2024-06-30),6,2286.2459667115104
2,2구간 (2024-04-01 ~ 2024-06-30),7,2275.948735349229
2,2구간 (2024-04-01 ~ 2024-06-30),8,2269.4248052307967
3,3구간 (2024-07-01 ~ 2024-12-31),2,2920.4968506294726
3,3구간 (2024-07-01 ~ 2024-12-31),3,2907.025197807769
3,3구간 (2024-07-01 ~ 2024-12-31),4,2892.1198973243877
3,3구간 (2024-07-01 ~ 2024-12-31),5,2879.27448860765
3,3구간 (2024-07-01 ~ 2024-12-31),6,2866.2941996146465
3,3구간 (2024-07-01 ~ 2024-12-31),7,2857.9006980500635
3,3구간 (2024-07-01 ~ 2024-12-31),8,2844.332039034298
4,4구간 (2025-01-01 ~ 2025-06-30),2,1187.3148763543834
4,4구간 (2025-01-01 ~ 2025-06-30),3,1175.68672350671
4,4구간 (2025-01-01 ~ 2025-06-30),4,1168.7925624563688
4,4구간 (2025-01-01 ~ 2025-06-30),5,1161.279634369787
4,4구간 (2025-01-01 ~ 2025-06-30),6,1154.9958948375634
4,4구간 (2025-01-01 ~ 2025-06-30),7,1148.633690824391
4,4구간 (2025-01-01 ~ 2025-06-30),8,1141.2377916058012
