section,section_name,cluster,doc_count,section_total,ratio
1,1구간 (2024.01~03),0,352,2290,0.1537117903930131
1,1구간 (2024.01~03),1,905,2290,0.3951965065502183
1,1구간 (2024.01~03),2,1033,2290,0.45109170305676854
2,2구간 (2024.04~06),0,599,2413,0.2482387070037298
2,2구간 (2024.04~06),1,474,2413,0.19643597181931205
2,2구간 (2024.04~06),2,1340,2413,0.5553253211769581
3,3구간 (2024.07~12),0,932,3012,0.3094289508632138
3,3구간 (2024.07~12),1,439,3012,0.1457503320053121
3,3구간 (2024.07~12),2,1641,3012,0.5448207171314741
4,4구간 (2025.01~06),0,358,1231,0.2908204711616572
4,4구간 (2025.01~06),1,90,1231,0.07311129163281885
4,4구간 (2025.01~06),2,783,1231,0.636068237205524
