cluster,cluster_size,rank,keyword,weight
0,4493,1,총선,0.011907107234362084
0,4493,2,민주당,0.0113831230535985
0,4493,3,지지,0.010136962553929567
0,4493,4,이재명,0.010102036461374964
0,4493,5,투자,0.009977652045459858
0,4493,6,선거,0.009773546396048816
0,4493,7,정지,0.009765958575732715
0,4493,8,국회,0.009584020354125944
0,4493,9,한동훈,0.00957804665255297
0,4493,10,중국,0.009454360050451888
0,4493,11,카페,0.00873411477828283
0,4493,12,조사,0.008684524251989924
0,4493,13,사태,0.008426466092392745
0,4493,14,마음,0.008397247167332497
0,4493,15,총장,0.0083925155788475
1,156,1,재생,0.3729333933565826
1,156,2,소거,0.13593079152972215
1,156,3,자막,0.13092799304136488
1,156,4,설정,0.11163351293732203
1,156,5,해상도,0.0913165914671208
1,156,6,속도,0.0680963522178343
1,156,7,사용,0.06395002088990119
1,156,8,취소,0.06150737501581587
1,156,9,기본,0.05879769801292622
1,156,10,발생,0.05543630325763429
1,156,11,동영상,0.046791474947593004
1,156,12,도움말,0.046529459264650797
1,156,13,디버그,0.04546978959265911
1,156,14,라이선스,0.04431226967763027
1,156,15,사용료,0.043681314176389666
2,315,1,규칙,0.13570960835049267
2,315,2,게시,0.12614715108739466
2,315,3,금지,0.12434443108973842
2,315,4,제한,0.10445487174276104
2,315,5,이용,0.10402855738923918
2,315,6,회원,0.07936268793395905
2,315,7,로물콘,0.0771447948558388
2,315,8,개진,0.07261260589904213
2,315,9,모욕,0.07054736212985831
2,315,10,영리,0.06922950348055182
2,315,11,비난,0.06881053835305481
2,315,12,허용,0.0613759845603213
2,315,13,삭제,0.05993481223961952
2,315,14,범위,0.05858474489971696
2,315,15,질문,0.05658373219236687
3,2346,1,설명회,0.02854924073530405
3,2346,2,재수,0.028366052880410945
3,2346,3,학종,0.02454655098154378
3,2346,4,약대,0.023204024529922363
3,2346,5,국어,0.021818058184969173
3,2346,6,컨설팅,0.021381922443736042
3,2346,7,자연,0.02110696947526312
3,2346,8,편입,0.021037777680524214
3,2346,9,학습,0.02077927746477105
3,2346,10,원서,0.019344913378933046
3,2346,11,연세대,0.019036010729407124
3,2346,12,과탐,0.018962057755784602
3,2346,13,학부모,0.01766332092696693
3,2346,14,모의고사,0.01739580705497691
3,2346,15,지원자,0.017188418795495743
4,1634,1,간호사,0.03988438142709148
4,1634,2,수가,0.03738556549426477
4,1634,3,전문의,0.03629728273816638
4,1634,4,사직,0.03380668181577347
4,1634,5,응급,0.029472343231372017
4,1634,6,치료,0.028154134119427476
4,1634,7,수련,0.026837275915725392
4,1634,8,면허,0.026363717913610724
4,1634,9,근무,0.02635343817680534
4,1634,10,급여,0.023855280244242966
4,1634,11,시스템,0.023289743759268282
4,1634,12,민영,0.023022054311563567
4,1634,13,단체,0.022112972733408568
4,1634,14,사직서,0.022109343482344706
4,1634,15,소아과,0.02195470695132707
