section,section_label,cluster,cluster_size,rank,keyword,weight
1,1구간 (2024-01-01 ~ 2024-03-31),0,61,1,아이,0.2604119313767297
1,1구간 (2024-01-01 ~ 2024-03-31),0,61,2,당직,0.2103594005120192
1,1구간 (2024-01-01 ~ 2024-03-31),0,61,3,엄마,0.19402792090094115
1,1구간 (2024-01-01 ~ 2024-03-31),0,61,4,환아,0.16841891835295766
1,1구간 (2024-01-01 ~ 2024-03-31),0,61,5,소청,0.16055970718269386
1,1구간 (2024-01-01 ~ 2024-03-31),0,61,6,세브란스,0.14844326318977033
1,1구간 (2024-01-01 ~ 2024-03-31),0,61,7,근무,0.12870978219597365
1,1구간 (2024-01-01 ~ 2024-03-31),0,61,8,붕괴,0.1205151211775064
1,1구간 (2024-01-01 ~ 2024-03-31),0,61,9,소아청소년과,0.11914133517912971
1,1구간 (2024-01-01 ~ 2024-03-31),0,61,10,포기,0.08747552666460501
1,1구간 (2024-01-01 ~ 2024-03-31),0,61,11,경험,0.08723006037732595
1,1구간 (2024-01-01 ~ 2024-03-31),0,61,12,마지막,0.08405165907306206
1,1구간 (2024-01-01 ~ 2024-03-31),0,61,13,뱃속,0.0839242606356095
1,1구간 (2024-01-01 ~ 2024-03-31),0,61,14,신랑,0.08364341644140659
1,1구간 (2024-01-01 ~ 2024-03-31),0,61,15,가을,0.08200903778219715
1,1구간 (2024-01-01 ~ 2024-03-31),1,1453,1,배정,0.023110880956445624
1,1구간 (2024-01-01 ~ 2024-03-31),1,1453,2,재수,0.013156323626199609
1,1구간 (2024-01-01 ~ 2024-03-31),1,1453,3,총선,0.011857650076260018
1,1구간 (2024-01-01 ~ 2024-03-31),1,1453,4,이공,0.011854541797872323
1,1구간 (2024-01-01 ~ 2024-03-31),1,1453,5,학부모,0.011450840843669352
1,1구간 (2024-01-01 ~ 2024-03-31),1,1453,6,반도체,0.011393746017541886
1,1구간 (2024-01-01 ~ 2024-03-31),1,1453,7,이슈,0.011390810792065616
