section,date,title,cluster
1,2024-03-10,병원 남은 참의사들 신상 조롱 퍼지자 일부 전공의 존중 해야,4
1,2024-03-21,지방 의대 증원과 변경될 지역인재전형 의대 입시 어떻게 바뀔까,3
1,2024-03-21,의대증원 발표 이유 의대가려면 어디로,0
1,2024-03-21,정부 의대 증원 2000명 중 82 1639명 비수도권 지방 의대에 배정 서울권 의대는 0명,0
1,2024-03-21,의대증원 2000명 지역별 시뮬레이션 실제 권역별로 얼마나 늘어나고 변화했을까,3
1,2024-03-21,전주독학재수학원 전북대 의대 정원 142명 200명 증원 지거국 중 증원 수 가장 적음,3
1,2024-03-21,충북대 의대 정원 151명 증가 전국 최다 증원 충주 충북대병원 가속화,0
1,2024-03-21,의대 정원 증원으로 의정 갈등 속의 의료개혁 돌파구,0
1,2024-03-21,공유 이슈 의대 증원 2000명 중 서울권 의대 0명 지방 1639명 배정,3
1,2024-03-21,의대증원에 따른 부동산 수혜지 뽑아보기,0
1,2024-03-21,금호동영어학원 이지스터디 금호동수학학원 이지아카데미 업데이트 뉴스,3
1,2024-03-21,파티가 시작됐다,0
1,2024-03-21,240321신문요약 의대 서울 0명 비수도권 1639명,4
1,2024-03-21,상산고 민사고등 전사고 전원 의대 진학의 길 열리다,3
1,2024-03-21,지방으로 이사까지 가는 이유와 코인 풀매수 해야하는 시기,0
1,2024-03-21,전국 의대 정원 증가와 관련주,0
1,2024-03-21,의사 증원 전쟁 패배 시 일본 의사가 되는 방법 탐색,0
1,2024-03-21,2025학년도 의과대학 학생 정원 배정 결과,3
1,2024-03-21,전주독학재수학원 전북권 의대 증원 현황 분석과 대응 방안,3
1,2024-03-21,변호사블로그 그냥 꾸준히 포스팅만 하면 충분할까요,0
1,2024-03-21,걱정스럽다 의대 증원,4
1,2024-03-21,의대증원하면 정시늘어난다고 학교 그만두고 검정고시로 부채질,0
1,2024-03-20,의료 개혁 도대체 문제의 본질이 무언가요 마지막,4
1,2024-03-20,시황정리 3월 20일 급등종목 요약,0
1,2024-03-20,서울신문 24년 3월 20일 수요일,0
1,2024-03-20,의대증원에 역대급 입시변수 도사려 상아탑 연쇄 대이동 우려,0
1,2024-03-20,의대 정원 2000명 늘렸는데 인서울 0명 왜,0
1,2024-03-20,의대 증원 2천명 쐐기 확정 지역 의료계 수급과 국민 건강 증진의 교두보 확보 반발하는 일부 의사들 잘라버리면 그만 윤석열 대통령 국정 지지율 상승 유력,0
1,2024-03-20,종합 인서울 의대엔 0명 지역 국립의대 최대 4배 증원,3
1,2024-03-20,교육부 2025학년도 의대 정원 대학별 배정결과,0
1,2024-03-20,2025년 의대 정원 2000명 증원 비수도권 82 경인 18 경상국립대 124명 충북대 151명 증원,0
1,2024-03-20,346일에는 3월 20일 수요일,0
1,2024-03-21,의대 증원 발표 ft 각 대학별 증원 인원,3
1,2024-03-21,의대 증원 2000명 의대 정원 배정 결과,3
1,2024-03-21,정원 증원하지 않은 8개 서울 소재 의대,0
1,2024-03-21,영어회화어플 의대 증원 의료 파업 영어로 트렌드 이슈 공부 앱 추천,1
1,2024-03-21,의대 증원 2000명 서울 0명 비수도권 82 확정 발표,4
1,2024-03-21,2025학년 학교별 의대증원 결과,3
1,2024-03-21,의대증원 발표 2025년 의대생 5058명 2024년 수험생 2025년 수능,0
1,2024-03-21,의대 증원 대입 대혼돈 예상 수험생 필독,3
1,2024-03-20,파주 중문 운정신도시 산내마을10단지 센트럴푸르지오 초슬림3연동 아치형 현관중문 시공,0
1,2024-03-21,D 20 3월 21일 목 녹색정의당 선대본부장 브리핑,0
1,2024-03-22,직장인수능 30대한의대 수능 어디서부터 준비해야 할까 시작은 생기부 조회부터 f 의대 증원,3
1,2024-03-22,3월,1
1,2024-03-23,2025학년도 대학별 의대증원수와 의대생들의 의대증원 생각,0
1,2024-03-23,의대증원이 부동산에 미치는 영향 Ft 전부스,3
1,2024-03-23,인천입시정보 의대 증원에 따른 전형별 인원 예상과 입시환경 변화 분석,3
1,2024-03-23,홍수학이 전하는 2025학년도 의대증원 배정결과,3
1,2024-03-23,2025학년도 의대 정원확대 증원인원 발표,3
1,2024-03-23,의대 2000명 증원 올해 대입에 미치는 영향 대입논술 입시논술 수시논술,3
1,2024-03-23,의대 증원 발표 대구 수혜아파트는 여기죠,0
1,2024-03-23,Yoon s med school quota hike plan raises fears regarding brain drain 윤정부의 의대 증원계획으로 과학계 인재고갈 우려,3
1,2024-03-23,정릉동커피 부추빵맛집 푸딩고양이 고양이카페 아기자기한카페 스트레이트다큐 발레7일차 서울청년정책네트워크선발 공공의대 의대정원확대 의대정원 의대다큐 의대블랙홀 의대증원 이공계의몰락,0
1,2024-03-23,의대 증원 갈등 상급 협력 병원 환자 이송시키면 양쪽 병원에 지원금,4
1,2024-03-23,의대 2000명 증원 확정 서울 0명 경인권 361명 비수도권 1639명,0
1,2024-03-23,장마감 주요 이슈,0
1,2024-03-23,뉴스 두 아이 죽여 냉장고 유기한 엄마 또 아기 낳았다 이번엔 옥중 출산 전국부 사건창고,0
1,2024-03-23,의대 정원 증원 전국 지도,0
1,2024-03-23,성균관대 의대 교수들의 이상한 대국민 입장문,4
1,2024-03-23,탕자가 드린 예배 아버지 집과 같은 광진교회,0
1,2024-03-22,이렇게 계속 가면 나라 반드시 망합니다,0
1,2024-03-22,의대 증원 왜 하필 지금,0
1,2024-03-22,정부 면허정지 전공의 의사 못 된다,4
1,2024-03-22,2025학년도 의대 정원 대학별 배정결과,3
1,2024-03-22,25년도 의대 증원 발표및 의대증원의 영향력,3
1,2024-03-22,의대 증원 일본의대와 비교해보기,4
1,2024-03-22,의대증원에 필요한 교육 여건 개선에 전폭적으로 지원하겠습니다 의사 집단행동 중앙재난안전대책본부 정례브리핑,4
1,2024-03-22,의대 증원 반대 이유와 정부의 증원 정책 정리,4
1,2024-03-22,입시정보 지방대 의대만 증원 의대 쏠림 N수 반수 폭발적 증가 예상 에듀동아,3
1,2024-03-22,베스트교육 수원금곡캠퍼스 2025학년 의대증원 최종 배정결과 발표,3
1,2024-03-22,부동산 뉴스 의대정원 증원 지방국립대 연준 기준금리 동결 GTX A노선 30일 개통 4450원,0
1,2024-03-22,민주당 200석 과 맞바꾼 의대증원 2000명,0
1,2024-03-22,의대 증원 지방 집중,4
1,2024-03-22,더불어민주연합 의대 증원 사회적 합의 후 조정 데일리팜 24 03 22,0
1,2024-03-22,의대증원을 지켜보는 의식의 흐름,4
1,2024-03-22,동아 조선 등 보수언론 정부 의대 2000명 증원 발표에 비판 돌아서,4
1,2024-03-22,의대 증원 갈등 여파로 고윤정 주연 전공의생활 방영 연기,0
1,2024-03-22,입시뉴스 의대증원 지방문호 대폭확대 부산대 경북대 등 7개 지거국 200명 정원에 지역인재 60 까지 확대되 빅5중 울산대 성균관대 최대 수혜 판도 바뀔수도,3
1,2024-03-22,부산 의대 정원 증원 변화 2025학년도 대입부터 적용된다,3
1,2024-03-22,금리인하 4월 총선 의대 증원 초고령사회,0
1,2024-03-22,전국 의대 정원 증원이 부동산에 미치는 영향,0
1,2024-03-22,3월 22일 시사 이슈,0
1,2024-03-20,의대 증원 배정 확정 발표,3
1,2024-03-20,의대 2000명 증원 지방 82 경인18 서울소재 의대는 0 명,0
1,2024-03-20,의대입학 정원 2 000명 증원 각 대학별 배정 ft 2025년 입학 기준,3
1,2024-03-17,의사 패턴 과거와 똑같아 증원 2000명 양보 없다 는 정부,0
1,2024-03-17,개원의까지 집단행동 조짐 의협 선거 후 총파업 가능성도 종합,4
1,2024-03-17,미라클 모닝 기록 3 11 3 17 feat 피곤함에 굴복한 주간,0
1,2024-03-17,사기탄핵과 불법탄핵 이후 윤석렬의 등장은 한국의 태극기 애국시민을 비겁자가 아니면 미치광이로 만들고 사기탄핵과 불법탄핵에서 박근혜 대통령을 변론했던 도태우 1366 밝갊삶,0
1,2024-03-17,의사 하기가 싫어 용접을 배운다,0
1,2024-03-18,의대증원논란 전공의 집단사직 지지율 15 이탈 부적절 84 여론은 복귀하라,4
1,2024-03-18,의대 증원과 지방 유학의 뜨거운 바람 대치동에서 읍면까지,1
1,2024-03-18,의대 증원 확신 수업거부 교수사직에도 식을 줄 모르는 입시 열풍,0
1,2024-03-18,장관 병원장 간담회 정부 돌아오라 교수사직 우려 병원 하루20억 적자 교수들 사직 논의 의대학생 휴학 정부 원칙대로 증원없이 수가올리면 건보료 3 4배 올라 지방의대 24 3 18,4
1,2024-03-18,의대 증원을 하지 말아야 할 이유는 없습니다,4
1,2024-03-18,초등논술 시사원정대 의대특집 너도나도 의대,0
1,2024-03-18,경제 신문 읽기 20240318 지자체와 정치권 중심으로 의대 신설 요청 봇물,0
1,2024-03-18,의대증원 이슈 이은혜 교수님,0
1,2024-03-18,3등급도 갈 수 있는 의대가 있다,0
1,2024-03-18,의료 정원 늘렸던 일본 고령화 때문에 의대 정원 줄인다,4
1,2024-03-18,부천 신중동 상동 입시설명회 3월 29일 금요일 저녁 7시 Top Best 최고학원 초등부 중등부 입시설명회 28년도 대입개편안 분석 설명회,1
1,2024-03-18,우주 이야기 스타십 아르테미스 달 탐사 신냉전시대,0
1,2024-03-17,내신 6등급도 의대 갈 수 있다 작년 강원도 지역인재 학종전형 4 16등급 의대 진학 강원도로 이사가세요,3
1,2024-03-18,뉴스 원고 2024년 3월 18일 SBS 8뉴스,0
1,2024-03-17,3월 2주차 신문스크랩 황상무 회칼 발언 논란 의대 교수 사직 다세대주택 공동현관 주거침입죄,0
1,2024-03-17,카톨릭의대 교수들 사직에 바티칸에 탄원 넣겠다는 한국,0
1,2024-03-16,3 16 토 의정 대립 속에 실종된 공공의료 찾기 시민행진,4
1,2024-03-16,의사 파업 이유 협회 반대 의견,4
1,2024-03-16,37차 항암 회복기,0
1,2024-03-16,중요한건 꺾이지 않는 마음 or 사교육비,0
1,2024-03-16,윤 대통령에게 엉터리로 보고한 보복부 조규홍 장관과 박민수 차관부터 빨리 짤라라 최석태,4
1,2024-03-16,2024 3 16의료계주요뉴스,4
