section,section_name,dominant_topic,doc_count,section_total,ratio
1,1구간 (2024.01~03),0,274,2290,0.11965065502183406
1,1구간 (2024.01~03),1,119,2290,0.051965065502183404
1,1구간 (2024.01~03),2,508,2290,0.22183406113537119
1,1구간 (2024.01~03),3,211,2290,0.09213973799126637
1,1구간 (2024.01~03),4,1178,2290,0.514410480349345
2,2구간 (2024.04~06),0,646,2413,0.2677165354330709
2,2구간 (2024.04~06),1,117,2413,0.048487360132615
2,2구간 (2024.04~06),2,841,2413,0.34852880232076255
2,2구간 (2024.04~06),3,241,2413,0.0998756734355574
2,2구간 (2024.04~06),4,568,2413,0.2353916286779942
3,3구간 (2024.07~12),0,589,3012,0.19555112881806108
3,3구간 (2024.07~12),1,91,3012,0.030212483399734397
3,3구간 (2024.07~12),2,1369,3012,0.4545152722443559
3,3구간 (2024.07~12),3,245,3012,0.08134130146082337
3,3구간 (2024.07~12),4,718,3012,0.23837981407702524
4,4구간 (2025.01~06),0,197,1231,0.16003249390739235
4,4구간 (2025.01~06),1,19,1231,0.015434606011372868
4,4구간 (2025.01~06),2,624,1231,0.5069049553208773
4,4구간 (2025.01~06),3,52,1231,0.04224207961007311
4,4구간 (2025.01~06),4,339,1231,0.27538586515028435
