topic,rank,keyword,weight
0,1,재생,2152.8573521116646
0,2,마음,1308.9808238427443
0,3,엄마,1247.7546110721212
0,4,부모,1178.3391652952548
0,5,친구,1060.9453661154193
0,6,경험,1009.9830473286955
0,7,직업,997.7217729846539
0,8,사용,970.5306757641606
0,9,생활,934.8256930802265
0,10,고민,879.7160888549769
0,11,기본,877.9629230557613
0,12,분야,863.2366581118725
0,13,다양,858.9867685126422
0,14,졸업,815.5705677879935
0,15,설정,795.4445829234378
1,1,재수,2382.9718967942426
1,2,점수,2124.767885711769
1,3,학습,2050.2644514425515
1,4,설명회,2047.130785753286
1,5,자연,1922.1685621323986
1,6,국어,1893.4697602612814
1,7,컨설팅,1832.3116925267655
1,8,약대,1818.2728182520405
1,9,학부모,1732.826649286141
1,10,학종,1729.1975975194257
1,11,탐구,1650.0578716609582
1,12,연세대,1632.3558768477626
1,13,추천,1587.37662422674
1,14,학부,1532.2308933595511
1,15,원서,1512.3486219295407
2,1,사직,1990.6212387459987
2,2,위원회,1826.53677199644
2,3,단체,1823.2370062244897
2,4,현장,1803.068921549075
2,5,제출,1773.0535500135634
2,6,기관,1685.6467021427402
2,7,복귀,1653.4097631210711
2,8,응급,1641.3162997978623
2,9,대책,1605.1110659101337
2,10,갈등,1602.9453914910125
2,11,방안,1555.5712937675648
2,12,간호사,1525.0858843913388
2,13,우려,1478.7581773208624
2,14,반발,1459.128061594238
2,15,국회,1456.3100034267102
3,1,수가,2183.907433304021
3,2,지지,1920.6734609560779
3,3,주장,1757.0459075910733
3,4,민주당,1679.401199606766
3,5,우리나라,1665.0821127726754
3,6,정권,1620.5346222534042
3,7,선거,1590.3934426598603
3,8,인구,1569.8638799104176
3,9,전문의,1540.9879872692961
3,10,민영,1496.81820431051
3,11,시스템,1489.613951134361
3,12,치료,1451.4860782255105
3,13,사태,1378.7302776421404
3,14,급여,1376.9434692496363
3,15,책임,1344.2885048118408
4,1,반도체,2433.1036839606422
4,2,투자,2408.6905992541456
4,3,중국,2401.2222839445303
4,4,금리,2198.196283061429
4,5,사업,1869.8953542747302
4,6,국내,1708.689757024112
4,7,개발,1660.306867321783
4,8,최대,1611.3845732789844
4,9,주식,1599.7107815557638
4,10,기술,1581.1501920434252
4,11,가격,1527.713106031164
4,12,전기,1520.8743558700794
4,13,주가,1456.0865422022055
4,14,전망,1435.8971658121895
4,15,부동산,1383.4195575988888
