topic,rank,keyword,weight
0,1,정부,8757.853159978924
0,2,대통령,6859.212292087083
0,3,국민,6636.4209648587985
0,4,윤석열,4327.151258014042
0,5,정치,3001.2183822787683
0,6,의원,2982.6484812493172
0,7,정원,2685.4970536082305
0,8,정책,2529.7824968206464
0,9,대표,2506.577230457502
0,10,국회,2490.297615783754
0,11,교수,2471.717892513836
0,12,개혁,2326.0435205986505
0,13,민주당,2225.032702539446
0,14,총선,2090.96035852818
0,15,의협,2081.5086883341337
1,1,기업,2992.570538727785
1,2,미국,2567.6190996465307
1,3,시장,2357.058378632375
1,4,반도체,2285.6690197620596
1,5,상승,2272.3449511938456
1,6,기술,1978.5803116897857
1,7,사업,1912.946770696398
1,8,투자,1894.3702737265296
1,9,국내,1520.3160657083606
1,10,산업,1500.9877668725844
1,11,주식,1481.1574368210104
1,12,개발,1457.9195969678337
1,13,주가,1155.9736107119868
1,14,한국,1119.4246556677226
1,15,성장,1099.0906489819358
2,1,대학,16517.53074018447
2,2,전형,15269.89731172305
2,3,수능,12677.843279454844
2,4,입시,12538.920685960164
2,5,학생,12217.612817119163
2,6,지역,10291.955712011364
2,7,모집,9451.91263103209
2,8,수시,9132.304460633855
2,9,학년도,7890.495747197847
2,10,지원,7825.799732719976
2,11,인재,7411.061891605401
2,12,등급,6983.35606041011
2,13,정원,6731.8910051700395
2,14,학교,6403.051640182581
2,15,인원,6315.600392496715
3,1,한국,2305.611746409935
3,2,서울,2305.37502154963
3,3,경제,2009.4678533059055
3,4,미국,1785.635295317584
3,5,아파트,1692.624319373674
3,6,뉴스,1659.1021315424891
3,7,금리,1610.7677616953608
3,8,중국,1524.0973686758218
3,9,일본,1318.6501931375462
3,10,가격,1261.817896453186
3,11,시장,1176.1223491669987
3,12,대출,1136.2194878362118
3,13,지역,1113.995411305123
3,14,부동산,1104.1098362081584
3,15,트럼프,1084.3016994230961
4,1,정부,13607.536149956462
4,2,환자,9626.629330839658
4,3,전공의,9106.60180374092
4,4,정원,7188.871080936738
4,5,진료,7145.4468947607165
4,6,교수,7052.289144264202
4,7,필수,6433.899157927035
4,8,국민,5967.176825205716
4,9,정책,5449.554961160764
4,10,대학,5136.0566424968865
4,11,지방,3913.9895237534147
4,12,교육,3764.9389333327026
4,13,지역,3760.086986358501
4,14,나라,3736.938673602287
4,15,파업,3592.558654261014
