topic,rank,keyword,weight
0,1,반도체,2496.4156840280734
0,2,투자,2475.935498692425
0,3,금리,2132.5701375549343
0,4,중국,1903.9223582545376
0,5,사업,1785.8659504499076
0,6,기술,1676.1256088201867
0,7,가격,1591.955727467803
0,8,국내,1579.2702511746622
0,9,주식,1552.0707913052095
0,10,개발,1532.9221225046074
0,11,부동산,1417.8145844999387
0,12,산업,1384.6961625676886
0,13,전망,1353.368380831502
0,14,최대,1336.9910364075604
0,15,아파트,1333.4023910210794
1,1,국회,2199.2084531455034
1,2,재생,2152.4787266807516
1,3,민주당,1735.5880148773736
1,4,선거,1366.2906315069952
1,5,이재명,1345.49430020705
1,6,후보,1278.1263719680262
1,7,조사,1256.8571344740387
1,8,대통령실,1183.0342630176372
1,9,한동훈,1174.7940809957208
1,10,지지,1112.7589559621736
1,11,위원장,1075.7878877203866
1,12,위원회,1050.1318051556873
1,13,네이버,1017.5810945843045
1,14,연합뉴스,863.4043194707281
1,15,갈등,841.190269211928
2,1,재수,2546.8006034740347
2,2,학습,2237.5698459000832
2,3,점수,2142.645470960012
2,4,자연,2049.2355819509353
2,5,설명회,2044.6091558647656
2,6,학부모,1996.145750844136
2,7,컨설팅,1911.7909907755002
2,8,국어,1902.206836659136
2,9,약대,1871.5197538195457
2,10,추천,1833.342171329834
2,11,학종,1729.1989206787916
2,12,탐구,1655.6918306645944
2,13,연세대,1646.6978117704718
2,14,상담,1629.191746225114
2,15,진로,1604.9631440387282
3,1,간호사,3039.3113409974876
3,2,치료,2830.5766315899955
3,3,전문의,2688.0388557703263
3,4,수가,2526.203162048991
3,5,사직,2427.390270421195
3,6,주장,2351.8627410435183
3,7,면허,2183.1509267009646
3,8,사태,2110.371372281534
3,9,시스템,2057.5061888675364
3,10,근무,2020.1351199236017
3,11,수련,1998.929895727679
3,12,의학,1946.8822563725414
3,13,응급,1945.6883366851077
3,14,우리나라,1938.8320928920464
3,15,공공,1921.145741128018
4,1,이재명,879.558882417657
4,2,경찰,806.6906671843946
4,3,한동훈,764.8649894604166
4,4,논란,700.6234829705836
4,5,단독,643.1948599023677
4,6,여성,602.4192116066711
4,7,혐의,598.5648030051528
4,8,사망,581.380479363748
4,9,중국,570.2916832541412
4,10,수사,560.154128280009
4,11,구속,532.7447957240707
4,12,사건,514.1208581968467
4,13,중앙일보,496.4728986732744
4,14,검찰,484.1925871599342
4,15,검사,477.90230748835285
