section,rank,word,count
1,1,의료,14739
1,2,정부,9157
1,3,정원,7383
1,4,병원,7358
1,5,대학,6226
1,6,지역,5330
1,7,국민,4555
1,8,전공의,4502
1,9,환자,4277
1,10,진료,3668
1,11,교수,3600
1,12,필수,3531
1,13,정책,3377
1,14,지방,3274
1,15,학생,2867
1,16,서울,2813
1,17,확대,2728
1,18,지원,2697
1,19,감사,2481
1,20,교육,2420
1,21,부족,2344
1,22,파업,2332
1,23,전형,2241
1,24,입시,2220
1,25,한국,2166
1,26,수도,2128
1,27,수능,2069
1,28,반대,2054
1,29,인재,2047
1,30,집단,1993
1,31,나라,1885
1,32,대통령,1765
1,33,규모,1764
1,34,소아,1764
1,35,해결,1744
1,36,시장,1743
1,37,증가,1711
1,38,건강,1669
1,39,전공,1636
1,40,미국,1564
1,41,인력,1561
1,42,보험,1538
1,43,인원,1515
1,44,뉴스,1505
1,45,수술,1492
1,46,공부,1473
1,47,의과,1469
1,48,기업,1457
1,49,의협,1429
1,50,입학,1399
1,51,서울대,1394
1,52,보건,1389
1,53,복지부,1387
1,54,청소년과,1384
1,55,대표,1335
1,56,정치,1295
1,57,경제,1281
1,58,사직,1270
1,59,학교,1253
1,60,면허,1238
1,61,수가,1221
1,62,치료,1219
1,63,반도체,1160
1,64,현장,1155
1,65,주장,1147
1,66,간호사,1125
1,67,학년도,1120
1,68,근무,1095
1,69,인구,1092
1,70,서비스,1089
1,71,단체,1082
1,72,총선,1079
1,73,합격,1066
1,74,행동,1045
1,75,세계,1040
1,76,전문의,1038
1,77,투자,1036
1,78,학원,1029
1,79,미래,1028
1,80,일본,1020
1,81,반발,1015
1,82,수요,1014
1,83,신청,1012
1,84,상위,1010
1,85,상승,1004
1,86,조사,1002
1,87,정시,992
1,88,모집,989
1,89,대한민국,989
1,90,개선,983
1,91,배정,957
1,92,평가,956
1,93,사업,943
1,94,시스템,933
1,95,의원,926
1,96,사직서,924
1,97,제출,905
1,98,업무,904
1,99,걱정,901
1,100,직업,901
2,1,의료,8952
2,2,정부,7001
2,3,대학,6715
2,4,전형,4931
2,5,지역,4441
2,6,정원,4378
2,7,병원,4376
2,8,학생,3784
