,doc_freq,mean_tfidf_in_corpus,sticky_score
수준,547,0.0071852645393882825,66.82740641646745
지금,629,0.008505216597354686,66.17418904215728
국가,615,0.00829612393916976,66.15660505650766
도움,483,0.006442072505662375,64.90127577129955
중심,315,0.003918731821064415,64.04089742218022
거리,264,0.0031764691785842697,63.21128894083928
부담,316,0.0040800475484024604,62.20414218354581
핵심,280,0.0035430581897807397,61.63249254210269
고려,336,0.004481353575346385,61.29872765574461
영향,543,0.007878991618662593,61.155593261139934
예정,505,0.007398916424433316,60.126803801845526
기존,372,0.00520097857207009,59.990531442171104
자리,305,0.004098777596326067,59.81825922742115
참고,313,0.004238295770653044,59.7522579296776
모습,320,0.004417569329618057,59.06707981576679
개인,397,0.005729334075701085,58.99543632906042
비교,274,0.003679532549619708,58.552856956250295
기회,427,0.006339624993066089,58.177359252468165
주목,220,0.00278864849073259,58.068200451464904
적용,302,0.004207541006997009,57.99282225415483
하루,755,0.01207621103852571,57.73843797531148
강조,285,0.0039536524173571985,57.53330593026329
포스팅,675,0.010748500203697846,57.45414208594416
구성,205,0.0025692143653869523,57.435608796160146
마지막,253,0.00341441889065502,57.312186783085146
전문가,363,0.00533570975251787,57.29429127584963
요즘,384,0.0057023008693980895,57.293757395060915
전문,508,0.007883525208236911,57.184505935659004
도입,203,0.0025539535639275044,57.11948576381031
생활,277,0.0038504110703635993,57.10856172428194
적극,232,0.003067248325188068,57.041021705816895
요구,446,0.006830225325100512,56.958769573374305
장소,245,0.003320661927080152,56.704274515078254
미래,450,0.006937897465890015,56.69007466192372
발표,784,0.012832024450486989,56.6800617513655
최대,339,0.004992083738284479,56.57464328044504
체크,237,0.0031895657503331776,56.56910861970657
상대,333,0.004903004223024821,56.41195354411655
강화,286,0.004071114105958907,56.397863275040564
역할,212,0.0027696612681158894,56.23847473859621
기록,262,0.0036715838710431764,56.083762430983555
준비,728,0.011990365459947763,56.041533415252154
이슈,424,0.006582102772595886,55.92116233671613
경험,257,0.003606508122267534,55.79063211843266
활용,235,0.003220407971448339,55.68182071254924
실시,200,0.002602103194709474,55.52311779788722
차이,294,0.004299267360580421,55.47936723988929
기준,594,0.009720922082798763,55.40568203112363
사회,582,0.009561998915197465,55.10320581102985
우려,366,0.005649021199434058,55.04569605390229
현실,394,0.0061717114709426675,54.93807183910756
관리,358,0.005518491510125685,54.92068210012861
전국,602,0.00998149522272959,54.81949295520116
시스템,360,0.005576495164074981,54.7404036676785
동시,162,0.0019662750445314544,54.6139510220601
소통,260,0.003768966137498897,54.51915415284497
본격,176,0.002230213002880146,54.48557102676312
방안,280,0.00414435814596124,54.428558831935895
공유,325,0.004979961416243631,54.348176748630564
마찬가지,173,0.002185110625087206,54.31522492103815
가운데,316,0.004818226222801922,54.312085487769465
입장,576,0.009606771763974549,54.304930172661926
실제,187,0.002445726512228963,54.2701225231697
방향,302,0.004574673792468075,54.17357342200566
희망,266,0.003921375299793368,54.049931938978204
마무리,267,0.003948557477834682,53.95511746522747
마련,248,0.0036043345922322336,53.862288900200625
안정,244,0.003538547222294918,53.76169687105763
사용,284,0.004296174548032399,53.623610291603754
구조,265,0.003956786747012998,53.46205385165929
성공,254,0.003756378106627732,53.401978208180296
대표,501,0.008393526852956065,53.334600288318704
일정,300,0.0046250385185601095,53.33296812281983
원인,183,0.0024326752436700993,53.3111893813592
일반,464,0.007714357769292104,53.24546137353416
목표,356,0.0056969242649470425,53.15873166781515
존재,198,0.002734744294705764,53.01567774818681
시점,175,0.0023029188487949633,52.983439197680255
