section,rank,word,count
1,1,정부,9157
1,2,정원,7383
1,3,대학,6226
1,4,지역,5330
1,5,국민,4555
1,6,전공의,4502
1,7,환자,4277
1,8,진료,3668
1,9,교수,3600
1,10,필수,3531
1,11,정책,3377
1,12,지방,3274
1,13,학생,2867
1,14,서울,2813
1,15,확대,2728
1,16,지원,2697
1,17,감사,2481
1,18,교육,2420
1,19,부족,2344
1,20,파업,2332
1,21,전형,2241
1,22,입시,2220
1,23,한국,2166
1,24,수도,2128
1,25,수능,2069
1,26,반대,2054
1,27,인재,2047
1,28,집단,1993
1,29,나라,1885
1,30,대통령,1765
1,31,규모,1764
1,32,소아,1764
1,33,해결,1744
1,34,시장,1743
1,35,증가,1711
1,36,건강,1669
1,37,전공,1636
1,38,미국,1564
1,39,인력,1561
1,40,보험,1538
1,41,인원,1515
1,42,뉴스,1505
1,43,수술,1492
1,44,공부,1473
1,45,의과,1469
1,46,기업,1457
1,47,의협,1429
1,48,입학,1399
1,49,서울대,1394
1,50,보건,1389
1,51,복지부,1387
1,52,청소년과,1384
1,53,대표,1335
1,54,정치,1295
1,55,경제,1281
1,56,사직,1270
1,57,학교,1253
1,58,면허,1238
1,59,수가,1221
1,60,치료,1219
1,61,반도체,1160
1,62,현장,1155
1,63,주장,1147
1,64,간호사,1125
1,65,학년도,1120
1,66,근무,1095
1,67,인구,1092
1,68,서비스,1089
1,69,단체,1082
1,70,총선,1079
1,71,합격,1066
1,72,행동,1045
1,73,세계,1040
1,74,전문의,1038
1,75,투자,1036
1,76,학원,1029
1,77,미래,1028
1,78,일본,1020
1,79,반발,1015
1,80,수요,1014
1,81,신청,1012
1,82,상위,1010
1,83,상승,1004
1,84,조사,1002
1,85,정시,992
1,86,모집,989
1,87,대한민국,989
1,88,개선,983
1,89,배정,957
1,90,평가,956
1,91,사업,943
1,92,시스템,933
1,93,의원,926
1,94,사직서,924
1,95,제출,905
1,96,업무,904
1,97,걱정,901
1,98,직업,901
1,99,얘기,898
1,100,체계,893
2,1,정부,7001
2,2,대학,6715
2,3,전형,4931
2,4,지역,4441
2,5,정원,4378
2,6,학생,3784
2,7,국민,3639
2,8,입시,3494
2,9,모집,3330
2,10,교수,3258
2,11,수능,2987
2,12,지원,2733
2,13,전공,2616
2,14,학년도,2585
2,15,대통령,2533
2,16,전공의,2475
2,17,교육,2450
2,18,인재,2431
2,19,환자,2426
2,20,정책,2362
2,21,인원,2330
2,22,서울,2278
2,23,수시,2066
2,24,학원,2013
2,25,한국,1872
2,26,학교,1822
2,27,결정,1814
2,28,등급,1769
2,29,수학,1760
2,30,선발,1727
2,31,진료,1718
2,32,미국,1707
2,33,지방,1673
2,34,확대,1667
2,35,필수,1628
2,36,휴진,1551
2,37,최저,1547
2,38,윤석열,1522
2,39,평가,1511
2,40,증가,1460
2,41,교과,1444
2,42,정시,1404
2,43,공부,1381
2,44,입학,1367
2,45,확정,1338
2,46,과학,1329
2,47,학과,1312
2,48,과목,1308
2,49,수도,1305
2,50,대입,1291
2,51,합격,1289
2,52,경제,1276
2,53,뉴스,1275
2,54,분석,1271
2,55,법원,1265
2,56,시장,1242
2,57,집단,1231
2,58,의협,1220
2,59,개혁,1211
2,60,자료,1200
2,61,계열,1193
2,62,나라,1193
2,63,변화,1185
2,64,건강,1178
2,65,서울대,1171
2,66,상승,1164
2,67,총선,1142
2,68,의과,1135
2,69,기업,1103
2,70,상위,1097
2,71,논술,1087
2,72,부족,1073
2,73,진학,1049
2,74,학년,1048
2,75,경쟁,1042
2,76,신청,1040
2,77,반대,1022
2,78,전략,1021
2,79,정치,1013
2,80,학생부,1013
2,81,비율,991
2,82,논의,981
2,83,재생,970
2,84,수험,966
2,85,의견,951
2,86,의원,950
2,87,보건,943
2,88,내신,936
2,89,추진,930
2,90,투자,929
2,91,시험,926
2,92,성적,924
2,93,반영,924
2,94,중국,915
2,95,영어,909
2,96,수술,901
2,97,근거,886
2,98,면접,875
2,99,설명회,872
2,100,정지,871
3,1,대학,7502
3,2,정부,6707
3,3,전형,5682
3,4,수능,5508
3,5,학생,5197
3,6,지원,4943
3,7,수시,4806
3,8,입시,4691
3,9,지역,4627
3,10,교육,4181
3,11,모집,4027
3,12,국민,3962
3,13,감사,3919
3,14,정원,3723
3,15,전공의,3281
3,16,학년도,3200
3,17,경쟁,3194
3,18,등급,3126
3,19,환자,2959
3,20,서울,2751
3,21,대통령,2675
3,22,학교,2662
3,23,교과,2635
3,24,평가,2530
3,25,인재,2523
3,26,교수,2520
3,27,전공,2501
3,28,정책,2453
3,29,합격,2426
3,30,최저,2401
3,31,한국,2366
3,32,인원,2333
3,33,학원,2267
3,34,정시,2159
3,35,미국,2144
3,36,선택,2121
3,37,수학,2090
3,38,면접,2018
3,39,대표,2012
3,40,종합,2008
3,41,과목,2007
3,42,증가,1998
3,43,공부,1911
3,44,진료,1905
3,45,필수,1871
3,46,내신,1859
3,47,논술,1845
3,48,지방,1831
3,49,응급실,1818
3,50,서울대,1781
3,51,윤석열,1779
3,52,선발,1777
3,53,학과,1758
3,54,상위,1726
3,55,시험,1723
3,56,학생부,1660
3,57,의원,1631
3,58,상승,1558
3,59,성적,1557
3,60,나라,1525
3,61,확대,1524
3,62,수험,1523
3,63,경제,1502
3,64,개혁,1482
3,65,변화,1455
3,66,뉴스,1440
3,67,영어,1440
3,68,학년,1410
3,69,정치,1405
3,70,전략,1388
3,71,시장,1360
3,72,입학,1333
3,73,기업,1309
3,74,내년,1307
3,75,수도,1293
3,76,점수,1290
3,77,계열,1289
3,78,교육부,1256
3,79,보험,1245
3,80,국회,1230
3,81,과학,1210
3,82,학습,1207
3,83,수업,1204
3,84,수술,1170
3,85,치료,1144
3,86,대입,1134
3,87,간호사,1125
3,88,자료,1097
3,89,반영,1092
3,90,투자,1078
3,91,보건,1075
3,92,평균,1059
3,93,비율,1056
3,94,추천,1034
3,95,의학,1032
3,96,원서,1025
3,97,응급,1020
3,98,한동훈,1015
3,99,재수,1009
3,100,접수,1007
4,1,대학,3095
4,2,감사,2261
4,3,전형,2233
4,4,학생,2196
4,5,입시,2140
4,6,수능,1872
4,7,정원,1834
4,8,정부,1781
4,9,지역,1721
4,10,모집,1524
4,11,지원,1480
4,12,학교,1450
4,13,정시,1373
4,14,학년도,1303
4,15,교육,1217
4,16,인재,1181
4,17,합격,1148
4,18,등급,1138
4,19,수시,1137
4,20,인원,1094
4,21,과목,1066
4,22,정책,1014
4,23,공부,972
4,24,수업,962
4,25,국민,951
4,26,선택,947
4,27,서울대,934
4,28,교과,914
4,29,복귀,859
4,30,서울,836
4,31,내신,823
4,32,발표,802
4,33,준비,775
4,34,미국,758
4,35,평가,753
4,36,증가,744
4,37,대통령,720
4,38,기준,719
4,39,반영,716
4,40,성적,715
4,41,분석,704
4,42,한국,696
4,43,입학,694
4,44,수학,691
4,45,환자,688
4,46,전공의,684
4,47,수험,680
4,48,학년,673
4,49,점수,669
4,50,학과,667
4,51,필수,663
4,52,최저,663
4,53,경쟁,662
4,54,일반,657
4,55,상위,657
4,56,전공,652
4,57,사회,640
4,58,휴학,636
4,59,교수,617
4,60,학원,617
4,61,지방,600
4,62,학번,595
4,63,결정,588
4,64,변화,575
4,65,확대,574
4,66,나라,572
4,67,영향,559
4,68,면접,552
4,69,계열,546
4,70,선발,534
4,71,탐구,529
4,72,학생부,527
4,73,지금,525
4,74,말씀,524
4,75,전략,520
4,76,해결,513
4,77,정리,513
4,78,수준,511
4,79,도움,510
4,80,교육부,506
4,81,경제,505
4,82,부족,503
4,83,의견,489
4,84,윤석열,487
4,85,국가,485
4,86,정치,485
4,87,본인,480
4,88,종합,474
4,89,시험,471
4,90,뉴스,470
4,91,영어,464
4,92,대표,457
4,93,과학,457
4,94,자료,455
4,95,논술,455
4,96,계획,450
4,97,재수,450
4,98,진료,448
4,99,대입,447
4,100,후기,440
