,doc_freq,max_section_mean_tfidf,mean_section_mean_tfidf,sticky_score
마지막,1149,0.004933272956734901,0.0043564294488394936,193.65365598017223
준비,2646,0.012721463573101732,0.011441312275958009,192.83657212682252
관리,1361,0.0060769473860311,0.005666913821378193,192.31455679413736
방향,1122,0.0048343172362911475,0.004273154990574598,192.31042032147894
기회,1485,0.006734721324576141,0.005968596465754698,191.99140313970875
목표,1291,0.00573536756347009,0.005353503820482889,191.6747657547098
차이,1190,0.005232905609728167,0.0048100658839732805,190.9221917531812
생활,1089,0.004711593505577356,0.004159045380243656,190.6648291648547
실제,806,0.003236331080940553,0.002775235677076913,190.25897282349595
도움,1666,0.007764333577440076,0.006362969090215413,190.08861144769574
사용,1016,0.004347116683897111,0.0036927771892757027,190.00894501885344
경험,1026,0.004405592486723164,0.003755838976569994,189.8034308949461
기준,2276,0.011036682873398238,0.009560789257586294,189.08864044512555
구조,1069,0.004696252347057665,0.0041131808963846255,187.6672476689309
거리,797,0.0032494810362288956,0.0025252461215228925,187.55231361316518
개인,1606,0.007567455985813489,0.005961966557167607,187.45354544678278
고려,1381,0.006392153259590796,0.005135886389339553,186.8197197086316
전문가,1236,0.005624042286890061,0.004641388623495945,186.5930117092131
지적,835,0.0034757591516307853,0.003132511615932183,186.56053011604965
예정,1590,0.007535838269863098,0.005797728286719441,186.273444942567
수준,2161,0.010624092016263357,0.008324905815890902,185.9069935936956
핵심,1042,0.004617423376097403,0.00356850074429248,185.49429698209954
모습,1061,0.004726149326450839,0.003691224946469213,185.29031282836368
자리,1267,0.0058445173732937965,0.004725714073855088,185.1116639638654
미래,1677,0.008111609630192047,0.007223168316341895,184.05090517081925
전문,1662,0.008032002997387006,0.006520858331175168,184.01233928740092
사례,848,0.0036278701605454945,0.0032223244552666104,183.2376386073988
제시,1024,0.0045887436707183265,0.0039834271621941655,183.22543675873837
주목,698,0.002815300063685244,0.0022354438119207274,182.94760263909453
성공,1020,0.0045785409909686525,0.004057220042902635,182.84350722730608
이제,1224,0.005709635789445807,0.005051719427267109,182.42420876634472
적용,1162,0.005374796181844183,0.00449452750520654,182.28033757525432
지금,2472,0.01256354003854229,0.0092579181130354,182.2533050350823
강조,974,0.004347956712937472,0.003588785995169999,182.1256327007574
파악,782,0.0032958954535778342,0.0029879847255768477,182.03422509938216
역할,761,0.0032151015617437485,0.0025332222194182604,180.54132002579345
마찬가지,660,0.0026805099568817325,0.0022588872000168475,179.32297636254108
활용,1034,0.004783824765016918,0.003831682178255763,178.7744342211197
기존,1347,0.006547477654203128,0.0054142337311927306,178.470220345716
비교,1158,0.0055034986756571855,0.004344797973487782,178.0580050449511
상대,1057,0.004953173087984378,0.003951687848176345,177.55237154676422
세상,1002,0.00465973394308107,0.004496860508796622,177.04012416077052
소통,848,0.003791613819265143,0.0030997720604152316,176.97586491434987
하루,2387,0.012489914743477505,0.009110525386967518,176.94700414279015
공개,1296,0.006339112953724662,0.0055188822841670876,176.58809833990483
희망,978,0.004540765550091346,0.0041718403380353415,176.5099048422788
존재,752,0.0032629404464327616,0.002629224765869063,176.40405946305805
체크,747,0.0032521440162104607,0.0026823252992094117,175.67608179596218
정확,737,0.0032027076404496503,0.0028252219163932583,175.363138017649
국가,2168,0.011366131485029277,0.008634415389822575,175.31756011365647
실시,686,0.0029266184447599886,0.0023063072940891264,174.7050317342283
중심,1253,0.006190300068865256,0.004362168449727971,174.26254648615011
마무리,862,0.003971312077135841,0.0032936945041392753,173.39486771802714
위험,761,0.0033948541058304404,0.002719778160793794,173.15705633786982
전환,631,0.0026550003362520607,0.0024121081133602865,172.6402029957253
시점,704,0.0030846964588687863,0.0025292090656899653,172.35062803050133
사태,1549,0.00799171269550302,0.00701268333239653,172.26973908704778
조건,938,0.00446351713779376,0.0037656356705348458,171.68427888903386
조치,909,0.004305432606152197,0.0038614167985110497,171.33381337196155
적극,812,0.0037492357578793488,0.002901722223643404,170.9748770952946
참고,1150,0.005739678864059776,0.0045069628018528885,170.6312753464451
원인,729,0.0032773735976921836,0.00261914212535971,170.43168742457405
결론,795,0.0036674482464606234,0.002997667147545847,170.32861598473153
걱정,1679,0.008859618123832956,0.008294020971095958,170.2905709848409
가운데,1131,0.0056464813503625715,0.0043375738284873065,170.16522583611896
이름,561,0.002300984212210642,0.002100802958642998,169.94931327596473
확보,879,0.004178433507822586,0.003336177679757105,169.74245178048054
판단,1302,0.006691172054319143,0.005295072771082829,169.28499204082084
동시,617,0.002650921770035905,0.0021494251278723056,168.99841707480138
장기,866,0.004124733081853783,0.0032798778131362693,168.98441073281023
차지,534,0.0021618487634618272,0.0017072793723053937,168.8885332438662
현실,1874,0.01011711428057828,0.007673916261633269,168.56892469603363
실질,577,0.002429522535146055,0.002241146694076442,168.24499448155018
전망,1286,0.006643847065825111,0.005648943127819991,168.23989136956698
변화,1742,0.009360559017162219,0.008654359768845985,168.13764557630384
요즘,1440,0.007570431295207567,0.005729567348387857,168.01954888842323
사회,2223,0.012244350594360002,0.009732046432287804,167.84514908165042
구성,731,0.003355953971584477,0.002887850892727912,167.81628198291062
의지,626,0.002737380912987043,0.0023452350053139127,167.49697570956965
유일,528,0.0021573916766972605,0.0018134127491230543,167.2266396015543
부담,1168,0.005985672299614465,0.0040884185462668875,167.19936892322607
바탕,469,0.0018105264415062092,0.001698849501965118,166.87265171170384
요소,519,0.0021154942742696425,0.001961614652062214,166.58672888162116
도입,848,0.004114953205332288,0.0033945240674632497,165.78841798903818
요구,1336,0.007066840059260671,0.005439357081821635,165.61627479725252
마련,994,0.005020608936725078,0.0032586177656252907,165.09957887095192
제도,1269,0.006689757419966247,0.005497869563735456,165.02471153447257
우려,1339,0.007122932239518037,0.005439295934275731,164.8419512212314
전국,2172,0.012199085875653585,0.009065626203660236,164.55685041085832
정치,1892,0.010498557045124247,0.009587287668467004,164.5423849771018
유익,581,0.0025346365975819165,0.002223788490874928,164.37333342767639
시스템,1386,0.0074399946938110305,0.006202279899218222,164.21811272184104
주변,798,0.0038650147131180914,0.003489607067972776,164.0282809111064
절반,640,0.0029144194223369377,0.0025482907295799224,163.49806470608488
일반,1840,0.01027034513707177,0.00838039378133838,163.26030637230897
종합,1667,0.009219709070755436,0.0075798870308550394,163.116189361032
언급,745,0.003572556777786959,0.0027693101909356146,162.9285400280076
일정,996,0.005118463485115109,0.004183944498666511,162.78596782068755
나머지,591,0.002631167310464018,0.0023042778421783934,162.75757889120166
인사,645,0.0029644262787793248,0.0026312151603185485,162.69693384198837
유리,841,0.004200784085424094,0.003820734530371228,161.70638622684166
어려움,497,0.0020760542955166913,0.001798880072044072,161.57062010393346
정신,835,0.00418141863687626,0.003669633397746797,161.15277658849806
책임,1137,0.0060555916358910455,0.005225563295771265,161.14878222489546
비판,900,0.00458817336805864,0.003957455004500579,161.0544163043146
오후,867,0.0043878820922174195,0.0037870162250022085,160.9166617161773
이슈,1549,0.008627282323538167,0.0068591002302183,160.89691233140445
위치,546,0.0023959833275253913,0.0021347721669107258,160.7781744905865
반복,470,0.0019240604861297727,0.0018442098481823539,160.73538910341847
정성,725,0.0035108425846279608,0.0030612866133286855,160.72385289405872
자격,762,0.003742015712054957,0.003458249507453621,160.69115883839754
계획,2132,0.01226783930800837,0.008989273390357478,160.6893142512768
출신,955,0.004949592478518469,0.00446188400999917,160.5151955277798
최대,1242,0.006771975942641306,0.005293481970345143,159.80492080343552
덕분,479,0.0019983500576641828,0.0018569708616780474,159.75452858668456
기관,1135,0.006105070606484592,0.004594236255801181,159.74506980467137
연속,468,0.0019338935134100834,0.0018052461556342019,159.51499189077265
시대,1077,0.0057559055359019855,0.004785182126425147,159.41608334762026
세계,1282,0.007044556407418604,0.005294831966008082,159.362422869924
영향,1912,0.010998834236672224,0.008798049217863646,159.34881358360005
향후,654,0.003109982983387222,0.002634297279853702,159.1247464146455
본인,1490,0.008379560944333737,0.0068947625877193814,158.85604974933503
안전,740,0.0036633391255939097,0.0027416626345107198,158.68457773929444
구체,743,0.0036840530602239587,0.0028380755193141024,158.62330986585258
인정,1002,0.005322120434724181,0.004075211949371237,158.49112815006265
위기,816,0.004171714243725586,0.003351771634041246,157.7813393286347
주도,513,0.002254802401134378,0.0018743644301894551,157.61325474664974
방문,1108,0.006033572231912269,0.004372735582387643,157.5301942550407
인식,572,0.0026314861125024077,0.002137420443887273,157.51127287275858
목적,1029,0.005547513692382442,0.0043559030900937375,157.15889242005971
참여,1124,0.006161878814953241,0.005115585769102306,156.94205794898505
예전,650,0.0031558692571095185,0.002957520122303619,156.40530531321062
특정,553,0.0025375058653117253,0.0022077629528385687,156.3248291466139
목소리,797,0.0041004667856665185,0.003244554492226846,156.26020783818313
사진,805,0.004159954679325864,0.0035955344306822182,156.00912217802102
보장,788,0.0040686473811246,0.0030557271428454436,155.46553957067013
글로벌,534,0.0024410740329466156,0.002104056911280563,155.18410673156373
전쟁,579,0.0027355364127859697,0.0024886073489223696,154.9978198628188
기억,560,0.0026136416498253453,0.0022412692842770634,154.96832676451632
의견,2007,0.011951589974752538,0.009346658666429235,154.96166910104387
가족,1007,0.005500897936097184,0.004188611217445933,154.90167818332995
비중,648,0.0031848751437245225,0.0028617762170481446,154.84332930976828
증가,2160,0.013008069087166915,0.011291046162804881,154.19684087500835
국제,594,0.002854699686983761,0.0025093843750016442,154.0976076569003
신경,497,0.0022280252864798453,0.0020158774933643347,153.96409751857223
조정,1183,0.006683891246072349,0.005286030092276973,153.95845179416028
가치,668,0.0033404863020354476,0.002676579304016915,153.8998060394166
소리,981,0.005395368627108746,0.004713470352682768,153.3922526125747
상당,402,0.0016239607646228813,0.0015124046245521706,153.2035102886822
말씀,1469,0.008595061123516455,0.0072345869011433,153.09959791706174
경제,1506,0.008840898591418695,0.007534597505883469,153.03480530865733
회복,529,0.002458149451906452,0.0019201436286153304,152.97198902388857
급증,473,0.0020923409178741285,0.0019428693509471336,152.9585555285962
입장,2031,0.01228243982733628,0.009026965460585918,152.90865431364847
본격,615,0.003023149428623883,0.0020875222895057914,152.8653138320941
이익,939,0.005146298630130216,0.0040133691496928425,152.77487419775863
졸업,1277,0.00736640271304801,0.00622711792758293,152.63429741535464
무시,626,0.0031033742606115322,0.002807558740793528,152.5573735764249
과거,684,0.0034857361814843993,0.0026589145442851244,152.4833321280285
유명,407,0.0016740380265956466,0.001592302982190707,152.204267834649
특성,420,0.0017685650030754996,0.001518329688366558,151.70313846105728
추진,1548,0.009225401385606924,0.0066177580213888955,151.38770025976044
배경,477,0.0021554759836840223,0.0017115449129852564,151.16578369362264
경영,516,0.002424254437359882,0.002224624998700517,150.6897368286215
전달,564,0.002748739062370509,0.0020682251775035955,150.45058901575175
공식,565,0.002755429371696842,0.002395582084903668,150.4488419508505
시절,538,0.002576155521677186,0.002272257342956055,150.44088455853358
갈등,1149,0.006646762297999443,0.005818003239443868,150.2596726853407
고민,1332,0.00786495393120175,0.006305295479116154,150.2545879355102
담당,413,0.00175350423805583,0.0016246059110683671,149.99068978793636
단순,621,0.0031403768914325036,0.0024779718476324476,149.9863457563507
한계,401,0.0016785305618247526,0.0014786661430362604,149.708950763966
이용,1541,0.009295711713459226,0.007650747868479199,149.67396551959632
해외,778,0.004199244039829564,0.0033623731547182526,149.6371384070488
장소,667,0.0034615662699256453,0.002205237152132626,149.49906818510976
이야기,1674,0.010199004620164745,0.007595922444880174,149.47757026422
능력,1058,0.006085979797486876,0.0045486959109310625,149.30892131180389
피해,1211,0.007110825911797998,0.0057041182800144485,149.3066197165545
정리,1364,0.008136929417735967,0.0062858125044016385,149.28428771183223
성장,793,0.004317159668760131,0.0037518128537251724,149.1397756322999
국내,954,0.005401814902451727,0.004436876117127861,149.02024106236547
신뢰,491,0.002297163132792038,0.00211693419050728,148.9158953394645
기록,1033,0.005942152091165903,0.003971610929673041,148.80111908157753
얘기,1358,0.008132524228042916,0.0070598406485646486,148.69930438618908
안정,984,0.005624222395764266,0.0041727278371840575,148.54573732747863
공동,437,0.0019426772739251407,0.0017081420214470268,148.50422228500102
완화,552,0.0027250194050754003,0.0023580462761757103,148.18714749455825
포스팅,1875,0.011658299824863591,0.007870681832300906,148.1241577417136
선택,2195,0.013820799109592987,0.010798818044756795,148.10267542046722
단계,812,0.004486174840622154,0.003894609605944297,148.00840723988227
발전,810,0.004473092448807777,0.003235105264094244,147.99676920795395
평균,1280,0.007649210099858376,0.006025177129398365,147.99039278985245
서울,2951,0.01895972513348229,0.014310150312967816,147.84772737424723
최선,673,0.0035613101804069383,0.002699294379491008,147.5453265359731
흐름,472,0.00220195933796637,0.0018797125085483356,147.40974202994622
완전,357,0.001422209393345272,0.0013783995456737998,147.3861017056636
소개,575,0.0029015189010523357,0.0020768749398297533,147.37849913911947
시설,674,0.0035846421418361586,0.00283623725759106,147.0125648083978
비율,1329,0.008040165541700416,0.007211349235894419,147.01058225865418
언론,851,0.0047954149687296724,0.0040370884207401635,146.84021844712444
