,section_1_mean_tfidf,section_2_mean_tfidf,section_3_mean_tfidf,section_4_mean_tfidf
정부,0.054792451136328205,0.03943864056906895,0.027842993253705855,0.022009097973137336
정원,0.05205019772222045,0.028630546433723838,0.019245334351077826,0.02741669686728437
지역,0.03889024546342161,0.027886510980183316,0.020423730917436697,0.023261690293671734
수능,0.016858680804297085,0.02087568016433138,0.036581640687428925,0.027248929791269503
전공의,0.036345803422292794,0.019715138063699397,0.018096570106888008,0.011302155203534328
입시,0.0197730551686551,0.027011388992105322,0.02727791034248554,0.036317594466626184
대학,0.0362082500933621,0.033907608186222384,0.03084102845736134,0.03237861610938015
전형,0.019438090761956843,0.032195250591229324,0.028075990005992046,0.027843517934955892
국민,0.031792287364334856,0.022846249980149752,0.020594083388197484,0.012750356487511254
수시,0.007600533805584646,0.01563281641803502,0.03114334122646949,0.020702603693291185
환자,0.0308306702120874,0.01924902632519045,0.01448118422058056,0.009774787059704726
감사,0.01759128060855972,0.020239247787314275,0.022167551172280798,0.030101101645090802
지방,0.029129174822830083,0.013779405387176586,0.011168964864684133,0.010282207724970507
교수,0.028802125710896947,0.024589112400016985,0.015017805414999521,0.009855917664253915
진료,0.02880027791390386,0.013774864343260713,0.010582776110307958,0.0076356895097975394
정시,0.009801405824110364,0.011566752228699928,0.016283738069994603,0.028346207178547956
학생,0.01969748804357767,0.021773893420021572,0.0241766856141499,0.028270241784798585
필수,0.026882589410607574,0.01196281967412534,0.010750873109091317,0.009839259242767235
모집,0.008655086847955679,0.023870415608209242,0.021779999807261877,0.02544605373228491
파업,0.025102025162572417,0.007861886683184868,0.006347384822117761,0.003930603030123378
학년도,0.011283643295834735,0.018974305551575796,0.017362737988550894,0.02482863607273111
복귀,0.006802406272391513,0.0064429442068298344,0.0058532573239152745,0.02418537213912441
정책,0.02374939543937016,0.015469903063070395,0.012760182057951755,0.013445712739589312
수업,0.005907687990635527,0.007746602853554093,0.010183994403199063,0.023565680129962123
지원,0.01561534585965138,0.01423196583528039,0.023210333564014456,0.017433159891638992
인원,0.014445148961776552,0.017364628253548176,0.01416261563898697,0.022427753384435044
발표,0.022044244161942554,0.012628754792870182,0.008292788659522156,0.01091951181227471
학교,0.009694994206386759,0.012387466649681354,0.015710448879496866,0.02199697316738369
수도,0.021966234385303065,0.010981130293341024,0.008066881622748674,0.006787938456829102
확대,0.0219344995708326,0.011677500629146659,0.007485663961904745,0.007383674290662138
