section,section_label,rank,keyword,tfidf
1,1구간 (2024-01-01 ~ 2024-03-31),1,정부,0.3462456825236604
1,1구간 (2024-01-01 ~ 2024-03-31),2,정원,0.27179169653291557
1,1구간 (2024-01-01 ~ 2024-03-31),3,대학,0.2358736153905345
1,1구간 (2024-01-01 ~ 2024-03-31),4,지역,0.20195739943508142
1,1구간 (2024-01-01 ~ 2024-03-31),5,국민,0.17377729718832588
1,1구간 (2024-01-01 ~ 2024-03-31),6,전공의,0.16892662385076962
1,1구간 (2024-01-01 ~ 2024-03-31),7,환자,0.1635369868090404
1,1구간 (2024-01-01 ~ 2024-03-31),8,진료,0.1393221175286999
1,1구간 (2024-01-01 ~ 2024-03-31),9,교수,0.1347409260432301
1,1구간 (2024-01-01 ~ 2024-03-31),10,필수,0.13431745456137995
1,1구간 (2024-01-01 ~ 2024-03-31),11,정책,0.1281963667782732
1,1구간 (2024-01-01 ~ 2024-03-31),12,지방,0.12407714418209445
1,1구간 (2024-01-01 ~ 2024-03-31),13,감사,0.11682496987678131
1,1구간 (2024-01-01 ~ 2024-03-31),14,부족,0.10980887938438291
1,1구간 (2024-01-01 ~ 2024-03-31),15,학생,0.10967911379918929
1,1구간 (2024-01-01 ~ 2024-03-31),16,서울,0.10613735231462439
1,1구간 (2024-01-01 ~ 2024-03-31),17,지원,0.10317305194167332
1,1구간 (2024-01-01 ~ 2024-03-31),18,확대,0.1009402023100998
1,1구간 (2024-01-01 ~ 2024-03-31),19,해결,0.10067992729543934
1,1구간 (2024-01-01 ~ 2024-03-31),20,규모,0.09974932138167446
2,2구간 (2024-04-01 ~ 2024-06-30),1,정부,0.29577111694767577
2,2구간 (2024-04-01 ~ 2024-06-30),2,대학,0.2856614994534082
2,2구간 (2024-04-01 ~ 2024-06-30),3,전형,0.2083272459716174
2,2구간 (2024-04-01 ~ 2024-06-30),4,지역,0.18858324941229987
2,2구간 (2024-04-01 ~ 2024-06-30),5,정원,0.1827507777809916
2,2구간 (2024-04-01 ~ 2024-06-30),6,학생,0.16266115327315211
2,2구간 (2024-04-01 ~ 2024-06-30),7,국민,0.15510054189923403
2,2구간 (2024-04-01 ~ 2024-06-30),8,입시,0.14123222046478998
2,2구간 (2024-04-01 ~ 2024-06-30),9,모집,0.14058416806131127
2,2구간 (2024-04-01 ~ 2024-06-30),10,교수,0.13725749905678733
2,2구간 (2024-04-01 ~ 2024-06-30),11,수능,0.12654303265260625
2,2구간 (2024-04-01 ~ 2024-06-30),12,지원,0.11664943262616485
2,2구간 (2024-04-01 ~ 2024-06-30),13,결정,0.11592475052349964
2,2구간 (2024-04-01 ~ 2024-06-30),14,전공,0.10999609461711694
2,2구간 (2024-04-01 ~ 2024-06-30),15,대통령,0.10671262910615822
2,2구간 (2024-04-01 ~ 2024-06-30),16,학년도,0.10662622211902772
2,2구간 (2024-04-01 ~ 2024-06-30),17,전공의,0.10481167538928739
2,2구간 (2024-04-01 ~ 2024-06-30),18,환자,0.1034291635951995
2,2구간 (2024-04-01 ~ 2024-06-30),19,교육,0.10321314612737328
2,2구간 (2024-04-01 ~ 2024-06-30),20,인재,0.1023922797496336
3,3구간 (2024-07-01 ~ 2024-12-31),1,대학,0.2529885368661709
3,3구간 (2024-07-01 ~ 2024-12-31),2,정부,0.2267486180274858
3,3구간 (2024-07-01 ~ 2024-12-31),3,전형,0.19188799286876146
3,3구간 (2024-07-01 ~ 2024-12-31),4,수능,0.18299252300067317
3,3구간 (2024-07-01 ~ 2024-12-31),5,학생,0.17746290659618585
3,3구간 (2024-07-01 ~ 2024-12-31),6,지원,0.16715927354434615
3,3구간 (2024-07-01 ~ 2024-12-31),7,감사,0.1642147748617279
3,3구간 (2024-07-01 ~ 2024-12-31),8,지역,0.15613438617887768
3,3구간 (2024-07-01 ~ 2024-12-31),9,수시,0.15548182275226116
3,3구간 (2024-07-01 ~ 2024-12-31),10,입시,0.15355847791591776
3,3구간 (2024-07-01 ~ 2024-12-31),11,교육,0.14016375494852612
3,3구간 (2024-07-01 ~ 2024-12-31),12,모집,0.13511497475312467
3,3구간 (2024-07-01 ~ 2024-12-31),13,국민,0.13470282943105108
3,3구간 (2024-07-01 ~ 2024-12-31),14,경쟁,0.12938897584398104
3,3구간 (2024-07-01 ~ 2024-12-31),15,정원,0.12412443283116233
3,3구간 (2024-07-01 ~ 2024-12-31),16,전공의,0.11059232808974617
3,3구간 (2024-07-01 ~ 2024-12-31),17,선택,0.1086057199954505
3,3구간 (2024-07-01 ~ 2024-12-31),18,등급,0.10537182067681405
3,3구간 (2024-07-01 ~ 2024-12-31),19,학년도,0.10495967535474048
3,3구간 (2024-07-01 ~ 2024-12-31),20,종합,0.10341672238458331
4,4구간 (2025-01-01 ~ 2025-06-30),1,대학,0.2500180212314341
4,4구간 (2025-01-01 ~ 2025-06-30),2,감사,0.22652439287523538
4,4구간 (2025-01-01 ~ 2025-06-30),3,전형,0.18003592023777798
4,4구간 (2025-01-01 ~ 2025-06-30),4,학생,0.17888867268050493
4,4구간 (2025-01-01 ~ 2025-06-30),5,입시,0.16725230459959256
4,4구간 (2025-01-01 ~ 2025-06-30),6,수능,0.15037137625686053
4,4구간 (2025-01-01 ~ 2025-06-30),7,정부,0.1438976221836769
4,4구간 (2025-01-01 ~ 2025-06-30),8,정원,0.14266842837231292
4,4구간 (2025-01-01 ~ 2025-06-30),9,지역,0.1383252769054935
4,4구간 (2025-01-01 ~ 2025-06-30),10,발표,0.1234278179198387
4,4구간 (2025-01-01 ~ 2025-06-30),11,모집,0.12209991859548894
4,4구간 (2025-01-01 ~ 2025-06-30),12,준비,0.12060122666976607
4,4구간 (2025-01-01 ~ 2025-06-30),13,지원,0.11972347722685191
4,4구간 (2025-01-01 ~ 2025-06-30),14,학교,0.11775676712866953
4,4구간 (2025-01-01 ~ 2025-06-30),15,선택,0.11662572342599027
4,4구간 (2025-01-01 ~ 2025-06-30),16,기준,0.11212145291954814
4,4구간 (2025-01-01 ~ 2025-06-30),17,정시,0.10767737787548488
4,4구간 (2025-01-01 ~ 2025-06-30),18,학년도,0.10120362380230123
4,4구간 (2025-01-01 ~ 2025-06-30),19,일반,0.10112915361371008
4,4구간 (2025-01-01 ~ 2025-06-30),20,사회,0.09877366090531622
