,section_1_mean_tfidf,section_2_mean_tfidf,section_3_mean_tfidf,section_4_mean_tfidf,diff_vs_others_max_s1,diff_vs_others_max_s2,diff_vs_others_max_s3,diff_vs_others_max_s4
복귀,0.006802406272391513,0.0064429442068298344,0.0058532573239152745,0.02418537213912441,-0.017382965866732897,-0.017742427932294576,-0.018332114815209136,0.017382965866732897
학번,0.0009421777155099243,0.0008232747781129955,0.005238989106708579,0.020167966417666463,-0.01922578870215654,-0.019344691639553466,-0.014928977310957884,0.014928977310957884
수업,0.005907687990635527,0.007746602853554093,0.010183994403199063,0.023565680129962123,-0.017657992139326596,-0.01581907727640803,-0.01338168572676306,0.01338168572676306
제적,0.00014224085262559298,0.00037764289015175463,0.0007511085847091164,0.014052076148767629,-0.013909835296142035,-0.013674433258615873,-0.013300967564058512,0.013300967564058512
정시,0.009801405824110364,0.011566752228699928,0.016283738069994603,0.028346207178547956,-0.01854480135443759,-0.016779454949848026,-0.012062469108553353,0.012062469108553353
화교,0.0,0.0,2.271981679596132e-06,0.011684835038422962,-0.011684835038422962,-0.011684835038422962,-0.011682563056743365,0.011682563056743365
입시,0.0197730551686551,0.027011388992105322,0.02727791034248554,0.036317594466626184,-0.016544539297971082,-0.009306205474520862,-0.009039684124140645,0.009039684124140645
후기,0.0018586886711359574,0.0022188957487321026,0.0034992755597603284,0.012216300110128184,-0.010357611438992227,-0.009997404361396081,-0.008717024550367856,0.008717024550367856
감사,0.01759128060855972,0.020239247787314275,0.022167551172280798,0.030101101645090802,-0.012509821036531081,-0.009861853857776527,-0.007933550472810004,0.007933550472810004
게시,0.004335521976027151,0.004867897185503343,0.005620907774646609,0.012195956093356004,-0.007860434117328854,-0.007328058907852661,-0.006575048318709396,0.006575048318709396
계엄,0.00013245834299463442,1.8323896293157542e-05,0.0014226247456017632,0.00798921046658404,-0.007856752123589406,-0.007970886570290882,-0.006566585720982277,0.006566585720982277
휴학,0.007730730390193386,0.00486416948293025,0.009564436496846466,0.01609623607428137,-0.008365505684087983,-0.01123206659135112,-0.006531799577434903,0.006531799577434903
학교,0.009694994206386759,0.012387466649681354,0.015710448879496866,0.02199697316738369,-0.012301978960996931,-0.009609506517702336,-0.006286524287886824,0.006286524287886824
동결,0.0023880586422303516,0.0017804165465337303,0.0009626407854414481,0.008674581289055744,-0.006286522646825392,-0.006894164742522013,-0.007711940503614296,0.006286522646825392
선배,0.0022952067820217535,0.0013841293352720645,0.0023604121872896327,0.008473506157334451,-0.0061782993753126975,-0.007089376822062387,-0.006113093970044819,0.006113093970044819
학년도,0.011283643295834735,0.018974305551575796,0.017362737988550894,0.02482863607273111,-0.013544992776896376,-0.005854330521155315,-0.007465898084180217,0.005854330521155315
황금,0.0007490838823437598,0.0006163326713404495,0.0012033601352360783,0.0070174729630314275,-0.0062683890806876676,-0.006401140291690978,-0.005814112827795349,0.005814112827795349
대선,0.0019658946608768764,0.001508250661448076,0.0017760483726427104,0.007759020306511937,-0.005793125645635061,-0.006250769645063861,-0.005982971933869226,0.005793125645635061
규칙,0.003620898840670703,0.0036473527561611215,0.004802261922435545,0.010051530835972461,-0.006430631995301758,-0.00640417807981134,-0.005249268913536916,0.005249268913536916
생기부,0.000592077245440219,0.0011268541149035754,0.00169202119322184,0.006872833672195995,-0.006280756426755776,-0.00574597955729242,-0.005180812478974155,0.005180812478974155
복학,0.00017528933650700973,0.0002675149301032164,0.001072721948056114,0.0061384013062876774,-0.005963111969780667,-0.005870886376184461,-0.005065679358231563,0.005065679358231563
인원,0.014445148961776552,0.017364628253548176,0.01416261563898697,0.022427753384435044,-0.007982604422658492,-0.005063125130886869,-0.008265137745448075,0.005063125130886869
이재명,0.005597519475351651,0.003995295656637794,0.004318550122035306,0.010641225682406323,-0.005043706207054672,-0.006645930025768529,-0.006322675560371017,0.005043706207054672
제한,0.005938440909467627,0.005072972832698747,0.006134102745606026,0.010903790478725632,-0.004965349569258005,-0.005830817646026885,-0.004769687733119606,0.004769687733119606
수강,0.0011057212660426318,0.0011699059951115272,0.0015132138749930427,0.006177688201769007,-0.005071966935726375,-0.00500778220665748,-0.004664474326775964,0.004664474326775964
합격,0.009348759706324703,0.009698690099274054,0.01728375563482688,0.02162501236512284,-0.012276252658798137,-0.011926322265848787,-0.004341256730295961,0.004341256730295961
펑크,0.00017427560640599106,0.0008198130053618177,0.0016034964393146281,0.005820744150593347,-0.005646468544187356,-0.005000931145231529,-0.004217247711278719,0.004217247711278719
과탐,0.0018332623489156936,0.003354973720367987,0.005781293034977257,0.00988999260689712,-0.008056730257981426,-0.006535018886529133,-0.0041086995719198625,0.0041086995719198625
신입,0.003660016206174058,0.005065038262295857,0.005709877770168092,0.009812048649225172,-0.006152032443051114,-0.004747010386929315,-0.00410217087905708,0.00410217087905708
사탐,0.0014269046075244384,0.003207315594810921,0.00466244716926177,0.008761273220851037,-0.007334368613326599,-0.005553957626040116,-0.0040988260515892674,0.0040988260515892674
학생,0.01969748804357767,0.021773893420021572,0.0241766856141499,0.028270241784798585,-0.008572753741220917,-0.006496348364777013,-0.004093556170648684,0.004093556170648684
탄핵,0.001115936676274234,0.0027973852342740887,0.005610750575998235,0.009651417109003269,-0.008535480432729035,-0.00685403187472918,-0.004040666533005034,0.004040666533005034
유급,0.0028059133809173764,0.004329425043331095,0.005054912471795671,0.008784358585617165,-0.005978445204699789,-0.00445493354228607,-0.003729446113821494,0.003729446113821494
내란,0.00012079687017520307,2.3125450274027678e-05,0.0005363124689848859,0.0042395352198792745,-0.0041187383497040715,-0.004216409769605247,-0.0037032227508943887,0.0037032227508943887
돼지띠,2.7530168473139762e-05,0.0003644480816719587,0.0010570758983416398,0.004752693707044599,-0.004725163538571459,-0.00438824562537264,-0.0036956178087029588,0.0036956178087029588
등록,0.004424660678028559,0.0023045193497212863,0.005660644696487182,0.009338110313454082,-0.004913449635425523,-0.007033590963732796,-0.0036774656169669,0.0036774656169669
편입,0.003541846205823384,0.007739080542235603,0.005979334641669925,0.011399453772776784,-0.0078576075669534,-0.0036603732305411805,-0.005420119131106859,0.0036603732305411805
돼지,0.0010454494310667061,0.0013046325656316045,0.0017161168694196525,0.005168818979866874,-0.004123369548800168,-0.0038641864142352693,-0.003452702110447221,0.003452702110447221
수험,0.006439302306095334,0.00996698449815596,0.012326792740211378,0.01577463715409867,-0.009335334848003335,-0.005807652655942708,-0.003447844413887291,0.003447844413887291
과목,0.006830157164510038,0.009241633425637219,0.012843066460768165,0.016260557653651475,-0.009430400489141438,-0.007018924228014256,-0.00341749119288331,0.00341749119288331
탐구,0.0021456424372418388,0.0045914964811224175,0.007124199451403254,0.010438052937557387,-0.00829241050031555,-0.00584655645643497,-0.0033138534861541337,0.0033138534861541337
활동,0.00498409065769465,0.005273536735112997,0.006045674350855791,0.009322150127123728,-0.004338059469429078,-0.004048613392010731,-0.003276475776267937,0.003276475776267937
수생,0.0023553586636335657,0.004442024853615673,0.005910161232530151,0.009134297816006321,-0.006778939152372755,-0.004692272962390648,-0.00322413658347617,0.00322413658347617
서울대,0.012669357922886874,0.008810912984652336,0.012730028601473976,0.01594246499216248,-0.003273107069275607,-0.007131552007510145,-0.003212436390688505,0.003212436390688505
인증,0.0014610276505194982,0.0029686723029057486,0.006562550071977583,0.009758616311853248,-0.00829758866133375,-0.006789944008947499,-0.0031960662398756645,0.0031960662398756645
점수,0.0038250675993960113,0.005356511693154152,0.009477165461477371,0.01259289416525497,-0.008767826565858958,-0.007236382472100818,-0.0031157287037775986,0.0031157287037775986
로물콘,0.0018414919174516624,0.001790494138462883,0.0023779771442851588,0.005453496471340743,-0.0036120045538890807,-0.00366300233287786,-0.003075519327055584,0.003075519327055584
일반고,0.0014664239753144719,0.003293707922811276,0.004304976945219321,0.007333558422401697,-0.005867134447087225,-0.004039850499590421,-0.0030285814771823768,0.0030285814771823768
분석,0.006765712233529494,0.008882606101596987,0.008250579276354393,0.011868260871447918,-0.005102548637918424,-0.0029856547698509303,-0.003617681595093524,0.0029856547698509303
공유,0.004681126807136942,0.004836978660185079,0.005876334298825143,0.008768634965099876,-0.004087508157962934,-0.003931656304914797,-0.002892300666274733,0.002892300666274733
백분위,0.001062347766497291,0.0010867397360145366,0.0034723059863532328,0.006329994529574842,-0.005267646763077551,-0.005243254793560305,-0.002857688543221609,0.002857688543221609
관세,0.00031351761820143386,0.001169149743229649,0.00026193513122652425,0.004020196483999958,-0.0037066788657985246,-0.002851046740770309,-0.0037582613527734343,0.002851046740770309
회원,0.005228237442299938,0.0054994130159151024,0.004261769205877327,0.008322563262253517,-0.003094325819953579,-0.002823150246338415,-0.0040607940563761906,0.002823150246338415
개진,0.0018310062777904493,0.0016737690458353846,0.0023068301670714775,0.005124397266134361,-0.003293390988343912,-0.003450628220298977,-0.0028175670990628838,0.0028175670990628838
이주호,0.0010738901108653855,0.0006509662799966263,0.0016488165088622859,0.004460839240019205,-0.00338694912915382,-0.003809872960022579,-0.0028120227311569197,0.0028120227311569197
거부,0.004963194982085097,0.0049112079614087025,0.005639454972932333,0.00845010725637901,-0.003486912274293913,-0.0035388992949703076,-0.002810652283446677,0.002810652283446677
김문수,0.0,3.15397853527387e-05,0.0004920455486334621,0.003277385973239559,-0.003277385973239559,-0.0032458461878868204,-0.002785340424606097,0.002785340424606097
영리,0.002415698182883729,0.001910696022065059,0.0026479574420208863,0.005428052684104269,-0.00301235450122054,-0.00351735666203921,-0.0027800952420833826,0.0027800952420833826
맞춤,0.0016787747313011894,0.0015105764805839763,0.0018709633134265172,0.004640378490458373,-0.002961603759157184,-0.003129802009874397,-0.002769415177031856,0.002769415177031856
고대,0.001320578122601498,0.001257629502084615,0.004053119224393146,0.006787546743901211,-0.005466968621299713,-0.005529917241816596,-0.0027344275195080644,0.0027344275195080644
대행,0.0002863961377120368,0.0002810759729238824,0.00038231396697796435,0.003109041211855553,-0.0028226450741435163,-0.0028279652389316704,-0.0027267272448775887,0.0027267272448775887
