,section_1_mean_tfidf,section_2_mean_tfidf,section_3_mean_tfidf,section_4_mean_tfidf
의료,0.08212779545463346,0.05041629672334588,0.04301177838173474,0.03085263035357616
정부,0.05350600753987948,0.03872148343812881,0.027217704845074686,0.02175685641770308
정원,0.05122964615803677,0.028344158334549382,0.019003372852731706,0.027236187695738236
병원,0.04512943718219308,0.02860968945732861,0.027872256253691427,0.019729183191630514
지역,0.03816008313826042,0.027668544608434348,0.020202199719607114,0.0230751991212451
수능,0.016801505747276006,0.02086585250765454,0.036559690979116405,0.0272381673003465
입시,0.01968771131600677,0.02695780391040758,0.027238266431707774,0.036289395493041755
대학,0.03578052165963306,0.03361598669054711,0.030643080199051764,0.03221256496102203
전공의,0.03544504320690887,0.01924983458885495,0.01757306018988186,0.011110001570497548
전형,0.019344878294428856,0.03215671051420016,0.028058950962003976,0.027831387904401306
수시,0.007591591136332782,0.01561708495847328,0.03110924988865268,0.020695478292701963
국민,0.0310185753738797,0.02242436560330305,0.02021510053557733,0.012569816310651136
감사,0.017408371267293686,0.020113396062987586,0.022082141428796324,0.03004825814954673
환자,0.0299094161807338,0.01873535635721247,0.013995673587521157,0.00952409489794862
지방,0.028588614810521766,0.013614769488580085,0.011002270787620784,0.01016260579136755
정시,0.009771903532875832,0.01156198373973431,0.016272521525254092,0.028338590673326124
교수,0.028303089392865424,0.024174670867572617,0.014762923294263338,0.009725759700073909
학생,0.01955962025813962,0.02170575333460999,0.024102134256110325,0.02818591801620424
진료,0.02797429589726129,0.013348710368876145,0.010198611739964426,0.007363543336919776
필수,0.02579767621261511,0.011570553742923451,0.010371943410444617,0.009582701259919389
모집,0.008626573196057712,0.023815543043048122,0.021707288409283685,0.025417762093273732
학년도,0.011200516563237404,0.018920548491239655,0.017322215063195825,0.024802237007422734
파업,0.024508934480360022,0.007672456869681948,0.006149678452058553,0.0038468452988926847
복귀,0.006667458184956406,0.006291634851939969,0.0057564991922979996,0.024050871720246638
수업,0.005863059397710345,0.007709197042161449,0.010133846598396935,0.02347880051526545
지원,0.015369253751792262,0.014141452121145004,0.02308350319076804,0.017371891212313625
정책,0.023070676882302087,0.01515390624804748,0.012493284939254603,0.013236963732660662
인원,0.014317854166813032,0.01729536485005019,0.014113410404799855,0.022380462783363128
학교,0.009630979018096623,0.012356193074104977,0.015674697315151875,0.02196860004268775
발표,0.02172712217743953,0.012530139917059495,0.008213553091637219,0.01087436866777854
수도,0.02169850636532511,0.010900566552667766,0.007989214056753999,0.006733494143378858
교육,0.017468253455974542,0.015412774457549166,0.02165209328519006,0.01676782799931286
합격,0.009292199892178572,0.00968680243267147,0.017262540688686608,0.021607435824246297
확대,0.02153384738034426,0.011560906026219451,0.007404068629957182,0.0073101434154345165
인재,0.019816500131011,0.019371382448528405,0.014764750722079494,0.02072626830094541
등급,0.00815465751115105,0.013893152292621967,0.020550345636731412,0.019263747561910693
경쟁,0.007949298302527604,0.007381787670959701,0.020286404214512537,0.011619456926187401
학번,0.0009376251044102433,0.0008165245751209899,0.005215599771128946,0.020096783939513835
휴진,0.0014622996141350217,0.019365022577417453,0.0011581698946950712,8.62089454365116e-05
부족,0.019207186863279616,0.008587005392221849,0.0078049614305384105,0.0075378472943010595
서울,0.01895972513348229,0.013827975802066522,0.012599010981561352,0.011853889334761092
반대,0.01884029690170364,0.009253595606060346,0.006492885331390288,0.007510704045754121
대통령,0.013394614345872519,0.01824882060931632,0.014238706052285055,0.011118772762514918
집단,0.018167956388633725,0.010969063955433992,0.005762153943646138,0.005983437608690199
최저,0.008075720177627522,0.011938572957562314,0.018086646747285943,0.011526583113347075
학원,0.011218842872055707,0.01795786596614871,0.01517512090539154,0.0116091103985422
소아,0.017311190545581265,0.0015651159798005375,0.001618284648394054,0.0007016778442706125
내신,0.0074187491793022186,0.008174513265771972,0.015897836467840556,0.017270907186484944
교과,0.005369341346653663,0.010805952984533204,0.016834120601892082,0.01633203486778548
전공,0.012444327277137283,0.016684251508354873,0.012424566097841521,0.008811339612964073
확정,0.006741695147342254,0.0164002178959205,0.0035737706741441337,0.008429150756698638
