,section_1_mean_tfidf,section_2_mean_tfidf,section_3_mean_tfidf,section_4_mean_tfidf,diff_vs_others_max_s1,diff_vs_others_max_s2,diff_vs_others_max_s3,diff_vs_others_max_s4
휴진,0.0014622996141350217,0.019365022577417453,0.0011581698946950712,8.62089454365116e-05,-0.017902722963282432,0.017902722963282432,-0.01820685268272238,-0.019278813631980942
법원,0.0016909896199980383,0.015736252314559628,0.0020907694662301722,0.0029602818363052186,-0.01404526269456159,0.01277597047825441,-0.013645482848329456,-0.01277597047825441
집행,0.0019384014432992514,0.010661127953624235,0.001326968189729802,0.0007288560239804948,-0.008722726510324984,0.008722726510324984,-0.009334159763894432,-0.00993227192964374
확정,0.006741695147342254,0.0164002178959205,0.0035737706741441337,0.008429150756698638,-0.009658522748578246,0.007971067139221862,-0.012826447221776366,-0.007971067139221862
기각,0.00018457336792049883,0.008323133994786961,0.0008731628656635881,0.0010312937302381468,-0.008138560626866463,0.007291840264548814,-0.007449971129123373,-0.007291840264548814
정지,0.006191363254941528,0.011440128973834021,0.003677864870378886,0.002893489381214673,-0.005248765718892493,0.005248765718892493,-0.007762264103455135,-0.008546639592619348
항고,1.3830513876581227e-05,0.005483157100513851,0.00019470819598747495,0.00027569037251587116,-0.00546932658663727,0.0052074667279979805,-0.005288448904526377,-0.0052074667279979805
대교협,0.0004960935900699981,0.005689126764416908,0.000515456808672947,0.0012174201140287076,-0.00519303317434691,0.0044717066503882005,-0.005173669955743961,-0.0044717066503882005
결정,0.008766054498956094,0.014707656546140056,0.006626346213760948,0.010244332603986769,-0.005941602047183962,0.004463323942153288,-0.008081310332379108,-0.004463323942153288
천공,0.0010387325262026694,0.00539951346000625,0.0010779579286676509,0.00033899278827853867,-0.00436078093380358,0.004321555531338599,-0.004321555531338599,-0.005060520671727711
회의록,1.9856892375413402e-05,0.006000891920318376,0.0016887566267832798,6.221224508583758e-05,-0.005981035027942962,0.0043121352935350955,-0.0043121352935350955,-0.005938679675232538
전공,0.012444327277137283,0.016684251508354873,0.012424566097841521,0.008811339612964073,-0.004239924231217589,0.004239924231217589,-0.004259685410513352,-0.0078729118953908
각하,0.00020237859650155032,0.005819017073149237,0.00025851671247822364,0.0016953201410562515,-0.005616638476647687,0.004123696932092986,-0.005560500360671013,-0.004123696932092986
전형,0.019344878294428856,0.03215671051420016,0.028058950962003976,0.027831387904401306,-0.012811832219771304,0.004097759552196184,-0.004097759552196184,-0.004325322609798853
