keyword,count
치료,3413
미래,3406
투자,3309
주장,3200
발생,3139
간호사,3131
시스템,3024
최고,3002
아이,2979
현장,2910
조사,2894
평균,2891
반도체,2885
사업,2878
마음,2855
예정,2797
의학,2784
사태,2766
주요,2764
해당,2751
전문의,2745
사직,2737
공공,2725
국회,2720
제도,2716
대책,2700
인구,2695
전망,2689
중국,2684
다양,2681
분야,2680
다음,2674
생명,2669
서비스,2668
유지,2654
단체,2651
개선,2627
이용,2619
자유,2615
우려,2609
재수,2597
학부모,2592
하락,2579
기술,2562
기회,2561
최대,2556
총선,2552
수가,2547
국내,2528
기관,2525
졸업,2524
요구,2494
활동,2485
지난해,2484
이슈,2478
제공,2472
부동산,2419
학습,2414
민주당,2413
적용,2402
추천,2391
지지,2375
설명,2368
자연,2359
기대,2344
연구,2338
고민,2327
환경,2323
강화,2317
목표,2316
수요,2313
갈등,2312
이재명,2312
자신,2310
면허,2281
판단,2268
대상,2266
재생,2256
체계,2248
노력,2244
제출,2230
기간,2228
피해,2224
고려,2216
응급,2211
가격,2210
제한,2201
금리,2198
근무,2189
책임,2185
우리나라,2183
기존,2180
참여,2167
상태,2162
행동,2136
수련,2132
중심,2128
대응,2124
금지,2113
설명회,2100
