keyword,count
정부,8994
정원,7060
대학,6127
지역,5246
국민,4514
전공의,4388
환자,4248
진료,3619
교수,3500
필수,3489
정책,3330
지방,3223
학생,2849
서울,2757
지원,2680
확대,2622
감사,2481
교육,2373
부족,2332
시간,2220
파업,2208
전형,2190
한국,2126
입시,2115
수도,2082
수능,2031
인재,1994
반대,1949
집단,1940
나라,1872
소아,1759
해결,1731
대통령,1730
시장,1729
규모,1715
증가,1683
건강,1659
전공,1586
인력,1554
미국,1552
보험,1534
인원,1491
수술,1478
공부,1455
기업,1447
의과,1442
의협,1391
뉴스,1383
청소년과,1382
보건,1363
서울대,1357
입학,1357
복지부,1355
대표,1324
정치,1288
학교,1242
경제,1231
치료,1214
면허,1213
수가,1211
사직,1203
반도체,1150
현장,1142
아이,1141
주장,1137
간호사,1112
근무,1094
인구,1089
서비스,1079
학년도,1074
단체,1069
총선,1055
합격,1046
세계,1031
전문의,1031
행동,1028
투자,1028
미래,1017
수요,1009
일본,1009
상위,1001
조사,989
상승,987
모집,981
반발,981
대한민국,980
학원,978
개선,974
신청,970
정시,969
평가,950
사업,940
시스템,930
배정,924
의원,919
사직서,901
걱정,897
직업,895
얘기,894
업무,894
