keyword,count
의대,7865
증원,3411
의사,3213
대학,3050
의료,2832
생각,2362
감사,2260
전형,2197
학생,2183
출처,2154
입시,2041
수능,1835
정부,1755
정원,1741
지역,1688
가능,1573
병원,1571
모집,1490
지원,1461
문제,1448
학교,1437
정시,1314
사람,1296
올해,1252
학년도,1235
경우,1203
교육,1189
인재,1154
합격,1116
등급,1115
수시,1081
인원,1071
과목,1062
정책,998
공부,968
상황,968
정도,965
국민,945
선택,942
수업,942
필요,909
서울대,904
교과,901
글,824
서울,821
결과,819
복귀,816
내신,811
정보,787
발표,786
준비,768
미국,754
작년,746
평가,746
증가,730
댓글,722
반영,716
기준,714
성적,712
대통령,706
수학,685
환자,684
한국,683
내용,679
입학,678
분석,676
전공의,673
학년,667
수험,666
점수,664
필수,659
최저,658
이유,658
학과,657
상위,646
경쟁,645
일반,644
전공,644
중요,642
사회,629
관련,625
휴학,619
교수,598
학원,596
지방,584
결정,582
학번,572
나라,567
확대,566
변화,563
시작,563
영향,551
면접,551
계열,535
탐구,526
학생부,525
지금,523
선발,522
말씀,522
수준,510
