keyword,count
총선,1098
재생,970
미래,938
다음,931
투자,923
예정,920
중국,913
자유,859
주장,850
국회,848
발생,846
정지,821
요구,819
전망,808
설명회,795
아이,795
해당,782
사업,778
분야,776
주요,770
학부모,766
인구,766
국내,766
마음,756
검토,754
단체,750
제출,747
판단,741
참여,740
사태,728
조사,728
금리,727
위원회,725
기회,725
자연,725
치료,722
시행,718
민주당,713
자신,708
대책,707
갈등,705
최고,702
우려,701
처분,699
회장,697
다양,696
생명,696
하락,696
시스템,693
반도체,693
설명,690
학습,682
추천,681
신설,679
유지,676
평균,671
집행,670
가격,669
서비스,667
의학,665
현장,663
이슈,662
기관,661
제도,660
부동산,659
학부,655
목표,648
대상,645
노력,644
재수,643
요강,641
전문가,634
개선,633
기대,632
선거,629
최대,629
기본,628
제공,626
기술,623
컨설팅,623
공공,621
상담,620
조정,619
기존,617
행정,617
이용,614
연구,614
간호사,605
환경,601
네이버,598
대화,597
졸업,593
상태,592
강화,592
이익,591
인정,589
지난해,588
사건,588
지지,583
활동,583
