keyword,count
의대,60009
의사,42349
의료,36657
증원,35321
정부,24196
대학,23151
병원,19359
생각,16826
정원,16645
지역,15845
전형,14796
학생,13964
문제,13055
국민,12971
수능,12123
입시,11896
지원,11708
감사,11536
사람,11513
가능,11360
전공의,10707
환자,10262
교육,10032
교수,9745
모집,9659
출처,9650
정책,9086
필요,8591
서울,8532
수시,8426
상황,8281
경우,8082
인재,7987
학년도,7833
올해,7742
진료,7642
필수,7610
대통령,7537
지방,7254
전공,7232
시간,7223
관련,7167
인원,7158
학교,7122
정도,7052
한국,6981
발표,6924
등급,6769
확대,6317
정보,6289
결과,6237
준비,6135
미국,6123
기준,5903
증가,5828
이유,5818
선택,5793
합격,5787
사회,5774
경쟁,5739
정시,5726
공부,5680
평가,5670
학원,5570
오늘,5419
교과,5415
최저,5415
내용,5403
부족,5303
수학,5264
대표,5258
과목,5152
중요,5132
나라,5131
서울대,5119
수도,5006
이상,4994
건강,4946
국가,4910
선발,4851
시작,4757
이번,4738
하루,4738
결정,4724
지금,4713
해결,4692
종합,4677
입학,4670
시장,4595
계획,4591
학과,4482
윤석열,4459
전국,4458
상위,4438
경제,4414
규모,4387
진행,4365
반대,4355
집단,4303
내신,4284
