keyword,count
의대,16161
의료,10562
의사,10144
증원,8836
대학,7364
정부,6601
병원,6208
전형,5587
수능,5328
학생,5167
생각,5072
지원,4867
지역,4546
수시,4527
문제,4487
입시,4471
교육,4081
가능,3978
모집,3934
국민,3922
감사,3909
정원,3614
사람,3557
출처,3480
전공의,3220
올해,3179
경쟁,3080
등급,3068
학년도,3056
환자,2936
시간,2914
상황,2902
경우,2787
서울,2710
필요,2688
학교,2644
대통령,2631
교과,2581
평가,2489
교수,2470
인재,2469
전공,2456
정책,2420
정보,2400
정도,2395
합격,2378
준비,2364
최저,2355
한국,2340
인원,2312
결과,2283
기준,2230
관련,2187
학원,2130
미국,2127
선택,2093
정시,2069
수학,2044
중요,2019
과목,1997
종합,1993
대표,1991
면접,1985
증가,1977
사회,1968
공부,1892
진료,1883
필수,1845
이유,1824
내신,1821
지방,1808
논술,1793
시작,1767
응급실,1764
선발,1761
오늘,1760
건강,1751
학과,1738
서울대,1724
발표,1716
윤석열,1712
상위,1708
시험,1699
이상,1670
내용,1650
학생부,1643
진행,1623
의원,1604
국가,1583
성적,1543
상승,1540
하루,1534
나라,1513
예상,1506
확대,1502
일반,1501
수험,1496
이번,1491
대비,1488
경제,1462
